lep_pt	genWeights	sumWeight	N_exp
74.4405	12.825598	3965033.5	275153
46.51511	12.825598	3965033.5	275153
49.20012	12.825598	3965033.5	275153
78.28417	12.825598	3965033.5	275153
68.32432	12.825598	3965033.5	275153
125.86549	12.825598	3965033.5	275153
46.71584	12.825598	3965033.5	275153
212.44316	12.825598	3965033.5	275153
87.19598	12.825598	3965033.5	275153
218.8827	12.825598	3965033.5	275153
48.05298	12.825598	3965033.5	275153
52.767605	12.825598	3965033.5	275153
48.80317	12.825598	3965033.5	275153
60.196636	-12.825598	3965033.5	275153
105.48863	12.825598	3965033.5	275153
63.225433	12.825598	3965033.5	275153
53.972054	-12.825598	3965033.5	275153
62.320763	12.825598	3965033.5	275153
78.98985	12.825598	3965033.5	275153
88.27511	12.825598	3965033.5	275153
56.259964	12.825598	3965033.5	275153
40.804512	12.825598	3965033.5	275153
108.150116	12.825598	3965033.5	275153
72.462524	12.825598	3965033.5	275153
42.123493	12.825598	3965033.5	275153
105.21811	-12.825598	3965033.5	275153
23.81037	12.825598	3965033.5	275153
144.82278	12.825598	3965033.5	275153
121.893196	12.825598	3965033.5	275153
71.45621	12.825598	3965033.5	275153
109.17554	12.825598	3965033.5	275153
93.537094	-12.825598	3965033.5	275153
94.52258	12.825598	3965033.5	275153
92.6783	-12.825598	3965033.5	275153
57.57198	12.825598	3965033.5	275153
80.66418	-12.825598	3965033.5	275153
79.5666	12.825598	3965033.5	275153
61.190716	-12.825598	3965033.5	275153
100.17268	-12.825598	3965033.5	275153
49.151836	12.825598	3965033.5	275153
54.426876	12.825598	3965033.5	275153
89.48295	12.825598	3965033.5	275153
93.10465	12.825598	3965033.5	275153
82.1768	12.825598	3965033.5	275153
332.17706	12.825598	3965033.5	275153
106.669365	12.825598	3965033.5	275153
71.92357	12.825598	3965033.5	275153
56.647114	12.825598	3965033.5	275153
56.913273	12.825598	3965033.5	275153
46.027306	-12.825598	3965033.5	275153
71.11328	12.825598	3965033.5	275153
68.54698	12.825598	3965033.5	275153
116.99867	12.825598	3965033.5	275153
38.03764	12.825598	3965033.5	275153
53.352528	12.825598	3965033.5	275153
46.406704	12.825598	3965033.5	275153
335.39194	12.825598	3965033.5	275153
75.50601	12.825598	3965033.5	275153
79.82271	12.825598	3965033.5	275153
89.72239	-12.825598	3965033.5	275153
53.413532	12.825598	3965033.5	275153
68.36968	12.825598	3965033.5	275153
59.902668	12.825598	3965033.5	275153
89.64766	12.825598	3965033.5	275153
74.85499	-12.825598	3965033.5	275153
150.95992	12.825598	3965033.5	275153
92.12107	12.825598	3965033.5	275153
109.7197	12.825598	3965033.5	275153
75.196495	12.825598	3965033.5	275153
100.01556	12.825598	3965033.5	275153
71.8359	12.825598	3965033.5	275153
44.05065	-12.825598	3965033.5	275153
