lep_pt	AK8_pt	genWeights	sumWeight	N_exp
70.615685	421.25	-2.8689086	45457.855	29118
25.778648	203.625	2.8689086	45457.855	29118
81.347786	305.5	-2.8689086	45457.855	29118
96.7638	536.0	2.8689086	45457.855	29118
131.46878	431.0	2.8689086	45457.855	29118
196.99411	284.0	2.8689086	45457.855	29118
59.939793	209.5	2.8689086	45457.855	29118
85.13331	416.75	-2.8689086	45457.855	29118
163.08026	249.375	2.8689086	45457.855	29118
90.905655	281.5	2.8689086	45457.855	29118
32.411575	252.875	2.8689086	45457.855	29118
123.38036	411.75	2.8689086	45457.855	29118
177.01709	251.0	2.8689086	45457.855	29118
118.36111	283.75	2.8689086	45457.855	29118
62.650177	388.0	-2.8689086	45457.855	29118
115.158615	206.375	-2.8689086	45457.855	29118
143.46321	388.0	2.8689086	45457.855	29118
46.838505	252.625	-2.8689086	45457.855	29118
57.53569	465.0	-2.8689086	45457.855	29118
29.902836	210.5	2.8689086	45457.855	29118
189.62944	205.0	-2.8689086	45457.855	29118
78.38853	368.5	2.8689086	45457.855	29118
91.10704	206.75	-2.8689086	45457.855	29118
89.01253	320.25	2.8689086	45457.855	29118
65.922104	388.25	2.8689086	45457.855	29118
30.177353	236.5	2.8689086	45457.855	29118
63.036846	233.25	-2.8689086	45457.855	29118
40.024185	290.75	-2.8689086	45457.855	29118
214.45274	399.5	2.8689086	45457.855	29118
44.896103	444.5	-2.8689086	45457.855	29118
39.43211	434.5	-2.8689086	45457.855	29118
72.63309	209.125	2.8689086	45457.855	29118
89.51472	306.25	-2.8689086	45457.855	29118
20.659723	259.75	2.8689086	45457.855	29118
104.994675	300.5	2.8689086	45457.855	29118
37.365005	382.25	2.8689086	45457.855	29118
158.3744	212.5	-2.8689086	45457.855	29118
94.865295	216.5	2.8689086	45457.855	29118
66.2833	348.0	2.8689086	45457.855	29118
109.50954	226.5	2.8689086	45457.855	29118
87.33674	222.125	-2.8689086	45457.855	29118
78.690956	311.25	2.8689086	45457.855	29118
99.19913	207.25	-2.8689086	45457.855	29118
53.354996	260.5	-2.8689086	45457.855	29118
17.197226	360.5	2.8689086	45457.855	29118
39.273304	271.75	2.8689086	45457.855	29118
