lep_pt	AK8_pt	t32	Msd	Flag	genWeights	sumWeight	N_exp
203.35551	288.25	0.424773	106.125		-0.49554962	209915.81	35563
85.92746	305.75	0.8914319	8.5		0.49554962	209915.81	35563
156.93404	508.75	0.9133574	2.0683594	d	0.49554962	209915.81	35563
160.39626	791.5	0.71100163	2.3476562	b	-0.49554962	209915.81	35563
100.66014	322.25	0.7842968	63.125	d	0.49554962	209915.81	35563
201.09396	283.25	0.7457983	51.3125	c	0.49554962	209915.81	35563
80.543365	358.75	0.3800615	169.5	a	0.49554962	209915.81	35563
243.95432	481.75	0.6853183	116.625	d	0.49554962	209915.81	35563
98.10743	230.75	0.80172414	101.375	c	0.49554962	209915.81	35563
122.40092	383.5	0.489137	163.625	a	-0.49554962	209915.81	35563
90.75045	230.75	0.8516923	40.0625	d	-0.49554962	209915.81	35563
185.76556	292.75	0.68911177	62.9375	c	0.49554962	209915.81	35563
178.02171	391.5	0.71521175	75.625		0.49554962	209915.81	35563
106.29807	327.5	0.8203843	12.53125		0.49554962	209915.81	35563
194.4289	224.25	0.7792869	76.9375	b	0.49554962	209915.81	35563
102.95012	255.875	0.7919726	88.5625		0.49554962	209915.81	35563
168.41063	263.0	0.8541854	3.3203125	d	-0.49554962	209915.81	35563
362.37964	405.5	0.6195652	137.0		0.49554962	209915.81	35563
105.158325	218.375	0.87296987	75.8125	b	0.49554962	209915.81	35563
91.411385	263.25	0.67633015	33.6875	c	0.49554962	209915.81	35563
284.19	344.0	0.9027882	70.125	b	0.49554962	209915.81	35563
97.91019	225.25	0.8196156	2.9296875		-0.49554962	209915.81	35563
177.48033	255.875	0.81346154	93.5		-0.49554962	209915.81	35563
122.66504	210.375	0.68105984	49.375	c	0.49554962	209915.81	35563
140.9589	336.0	0.88388497	28.78125	d	0.49554962	209915.81	35563
140.36896	221.875	0.72615385	98.625	d	0.49554962	209915.81	35563
99.5893	247.875	0.8535535	42.59375	c	0.49554962	209915.81	35563
81.57886	375.0	0.87808526	105.3125		0.49554962	209915.81	35563
176.3811	205.625	0.7986315	6.21875	c	0.49554962	209915.81	35563
144.4376	232.375	0.7757685	95.0625	c	-0.49554962	209915.81	35563
271.33383	353.0	0.622484	145.5		0.49554962	209915.81	35563
168.80553	239.25	0.773069	66.0625	d	-0.49554962	209915.81	35563
139.99368	227.625	0.8738657	73.9375	c	-0.49554962	209915.81	35563
140.04796	363.0	0.8138839	86.5625		0.49554962	209915.81	35563
83.60217	286.75	0.90132374	1.2587891	d	0.49554962	209915.81	35563
171.84026	308.5	0.78219825	5.2890625		0.49554962	209915.81	35563
101.454185	320.5	0.76478744	3.5058594		0.49554962	209915.81	35563
66.217224	553.5	0.8578657	192.875		0.49554962	209915.81	35563
87.31013	216.625	0.8785262	81.625	c	-0.49554962	209915.81	35563
95.29851	233.25	0.82663757	86.5	b	0.49554962	209915.81	35563
86.7478	222.5	0.82782215	83.8125	d	0.49554962	209915.81	35563
181.19629	408.0	0.6061549	166.0	a	0.49554962	209915.81	35563
166.01004	495.5	0.6615509	129.75	b	0.49554962	209915.81	35563
62.49858	203.0	0.8775148	100.125	d	0.49554962	209915.81	35563
179.17041	204.0	0.6603113	60.0625		0.49554962	209915.81	35563
71.75665	319.0	0.50079936	129.125	c	0.49554962	209915.81	35563
84.916466	300.25	0.77079564	105.0		0.49554962	209915.81	35563
70.55355	251.625	0.8200837	80.75		0.49554962	209915.81	35563
136.35336	230.25	0.67881835	79.3125	c	0.49554962	209915.81	35563
251.19357	220.875	0.53854007	65.5	b	0.49554962	209915.81	35563
86.124794	221.125	0.90681624	55.90625	c	-0.49554962	209915.81	35563
191.24495	376.5	0.8812601	92.625	b	0.49554962	209915.81	35563
183.98827	292.25	0.6424581	80.3125	c	0.49554962	209915.81	35563
260.0905	496.25	0.51258785	176.0		0.49554962	209915.81	35563
319.0719	290.25	0.7634703	48.84375		0.49554962	209915.81	35563
224.58998	277.25	0.82222223	20.21875	d	0.49554962	209915.81	35563
133.2062	209.0	0.6781065	62.5625		0.49554962	209915.81	35563
200.31395	361.5	0.7650966	157.0	c	-0.49554962	209915.81	35563
339.00018	527.0	0.6824176	128.5		0.49554962	209915.81	35563
110.82219	221.375	0.80198675	49.65625	d	0.49554962	209915.81	35563
106.99259	285.5	0.7912923	19.21875	d	0.49554962	209915.81	35563
214.48117	226.875	0.7435047	59.90625	d	-0.49554962	209915.81	35563
277.05988	358.25	0.8231707	82.4375	b	0.49554962	209915.81	35563
152.70699	243.625	0.856869	3.9589844		0.49554962	209915.81	35563
201.62955	329.0	0.85942495	53.40625		-0.49554962	209915.81	35563
157.30551	205.125	0.8086473	87.125		0.49554962	209915.81	35563
100.27791	250.625	0.5505355	110.0625		0.49554962	209915.81	35563
289.24747	294.5	0.80235296	122.75		0.49554962	209915.81	35563
301.7231	343.5	0.8342904	70.25		0.49554962	209915.81	35563
112.44823	219.0	0.8774333	29.34375		-0.49554962	209915.81	35563
139.17513	216.375	0.827639	5.921875		0.49554962	209915.81	35563
101.35426	216.625	0.7898305	82.75	b	0.49554962	209915.81	35563
117.10622	450.5	0.57742184	153.375		0.49554962	209915.81	35563
97.06254	247.25	0.84183294	48.15625	b	0.49554962	209915.81	35563
204.52489	269.25	0.82064927	89.4375		0.49554962	209915.81	35563
72.3757	215.75	0.8707792	14.140625	d	0.49554962	209915.81	35563
84.82803	232.375	0.81105083	2.0410156	d	0.49554962	209915.81	35563
142.33575	219.375	0.9121622	42.46875		0.49554962	209915.81	35563
149.31287	235.875	0.5914044	10.515625	d	0.49554962	209915.81	35563
