lep_pt	AK8_pt	LHE_dd	LHES_dd	LHE_dm	LHES_dm	LHE_md	LHES_md	LHE_um	LHES_um	LHE_mu	LHES_mu	LHE_uu	LHES_uu	genWeights	sumWeight	N_exp
197.71613	971.5	1.4598389	1.0946412086486816	1.2573242	1.078533411026001	1.1610718	1.0270262956619263	0.87002563	0.9779912829399109	0.80877686	0.9173509478569031	0.7036438	0.8906815648078918	0.49554962	209628.39	35563
50.62259	274.25	1.2194214	1.0946412086486816	1.1972046	1.078533411026001	1.0198364	1.0270262956619263	0.9909668	0.9779912829399109	0.848114	0.9173509478569031	0.8388672	0.8906815648078918	0.49554962	209628.39	35563
395.77695	342.0	1.4668579	1.0946412086486816	1.2971802	1.078533411026001	1.1307983	1.0270262956619263	0.890625	0.9779912829399109	0.7876587	0.9173509478569031	0.70150757	0.8906815648078918	-0.49554962	209628.39	35563
77.504715	433.75	2.7264404	1.0946412086486816	0.80288696	1.078533411026001	2.5336914	1.0270262956619263	-0.14884949	0.9779912829399109	1.0869141	0.9173509478569031	0.14840698	0.8906815648078918	0.49554962	209628.39	35563
80.40932	401.75	1.2607422	1.0946412086486816	1.2513428	1.078533411026001	1.0092163	1.0270262956619263	0.9933777	0.9779912829399109	0.81536865	0.9173509478569031	0.80874634	0.8906815648078918	0.49554962	209628.39	35563
291.72134	386.25	1.6251221	1.0946412086486816	1.3362427	1.078533411026001	1.2177124	1.0270262956619263	0.82818604	0.9779912829399109	0.76519775	0.9173509478569031	0.6328125	0.8906815648078918	-0.49554962	209628.39	35563
268.83594	612.5	1.3772583	1.0946412086486816	1.2838745	1.078533411026001	1.0727539	1.0270262956619263	0.9356079	0.9779912829399109	0.79455566	0.9173509478569031	0.7433777	0.8906815648078918	-0.49554962	209628.39	35563
521.2366	245.375	1.1060791	1.0946412086486816	0.99868774	1.078533411026001	1.1055298	1.0270262956619263	0.9089966	0.9779912829399109	0.97161865	0.9173509478569031	0.8842468	0.8906815648078918	0.49554962	209628.39	35563
129.39641	437.5	1.5078125	1.0946412086486816	1.2942505	1.078533411026001	1.164978	1.0270262956619263	0.8667908	0.9779912829399109	0.78915405	0.9173509478569031	0.684021	0.8906815648078918	0.49554962	209628.39	35563
116.89112	360.5	1.2414551	1.0946412086486816	1.1568604	1.078533411026001	1.0722656	1.0270262956619263	0.93515015	0.9779912829399109	0.8725586	0.9173509478569031	0.8164673	0.8906815648078918	0.49554962	209628.39	35563
90.41365	414.75	1.2977905	1.0946412086486816	1.267395	1.078533411026001	1.0266724	1.0270262956619263	0.9734497	0.9779912829399109	0.8055725	0.9173509478569031	0.7825928	0.8906815648078918	0.49554962	209628.39	35563
304.66922	562.5	1.3326416	1.0946412086486816	1.260376	1.078533411026001	1.0596313	1.0270262956619263	0.9470215	0.9779912829399109	0.8092346	0.9173509478569031	0.76501465	0.8906815648078918	0.49554962	209628.39	35563
155.27919	318.0	1.0386963	1.0946412086486816	1.2023926	1.078533411026001	0.8830261	1.0270262956619263	1.095459	0.9779912829399109	0.8450928	0.9173509478569031	0.91415405	0.8906815648078918	0.49554962	209628.39	35563
51.879963	679.0	1.09906	1.0946412086486816	0.9746094	1.078533411026001	1.1328125	1.0270262956619263	0.8907776	0.9779912829399109	0.98464966	0.9173509478569031	0.87475586	0.8906815648078918	0.49554962	209628.39	35563
337.12128	552.0	1.0870972	1.0946412086486816	1.1981812	1.078533411026001	0.9249878	1.0270262956619263	1.0437012	0.9779912829399109	0.84732056	0.9173509478569031	0.8747864	0.8906815648078918	0.49554962	209628.39	35563
266.13638	375.5	1.1812134	1.0946412086486816	1.0368652	1.078533411026001	1.142456	1.0270262956619263	0.8838806	0.9779912829399109	0.9454346	0.9173509478569031	0.83410645	0.8906815648078918	0.49554962	209628.39	35563
146.31558	512.5	1.472229	1.0946412086486816	1.2874756	1.078533411026001	1.1434937	1.0270262956619263	0.8830261	0.9779912829399109	0.7926636	0.9173509478569031	0.6999512	0.8906815648078918	0.49554962	209628.39	35563
66.2296	346.25	1.4520874	1.0946412086486816	1.2939453	1.078533411026001	1.1222534	1.0270262956619263	0.8968506	0.9779912829399109	0.78930664	0.9173509478569031	0.70788574	0.8906815648078918	0.49554962	209628.39	35563
126.45044	292.25	1.2772827	1.0946412086486816	1.2644043	1.078533411026001	1.0143433	1.0270262956619263	0.9839783	0.9779912829399109	0.80792236	0.9173509478569031	0.79244995	0.8906815648078918	0.49554962	209628.39	35563
113.3018	526.5	1.2587891	1.0946412086486816	1.2479248	1.078533411026001	1.0130615	1.0270262956619263	0.98272705	0.9779912829399109	0.8167114	0.9173509478569031	0.8000488	0.8906815648078918	0.49554962	209628.39	35563
68.36902	588.5	1.0215454	1.0946412086486816	0.9689026	1.078533411026001	1.052063	1.0270262956619263	0.951355	0.9779912829399109	0.9877014	0.9173509478569031	0.94088745	0.8906815648078918	0.49554962	209628.39	35563
187.83398	422.0	1.2406616	1.0946412086486816	1.1513062	1.078533411026001	1.0772705	1.0270262956619263	0.9313965	0.9779912829399109	0.8765259	0.9173509478569031	0.81658936	0.8906815648078918	0.49554962	209628.39	35563
397.81485	547.0	1.9331055	1.0946412086486816	0.92663574	1.078533411026001	1.8207397	1.0270262956619263	0.36108398	0.9779912829399109	1.0144653	0.9173509478569031	0.4825287	0.8906815648078918	0.49554962	209628.39	35563
56.093647	349.0	1.5075073	1.0946412086486816	1.314209	1.078533411026001	1.1470947	1.0270262956619263	0.88131714	0.9779912829399109	0.77871704	0.9173509478569031	0.6863098	0.8906815648078918	-0.49554962	209628.39	35563
