lep_pt	AK8_pt	LHE_dd	LHES_dd	LHE_dm	LHES_dm	LHE_md	LHES_md	LHE_um	LHES_um	LHE_mu	LHES_mu	LHE_uu	LHES_uu	ISR_u	ISR_d	FSR_u	FSR_d	genWeights	sumWeight	N_exp
157.54349	263.25	1.5371094	1.0930083990097046	1.296936	1.0773504972457886	1.1853638	1.0265549421310425	0.8517761	0.9783827662467957	0.78707886	0.9178193211555481	0.6703186	0.8914743065834045	1.1598511	0.8080139	1.12854	0.56851196	-0.49554962	289570.47	35563
133.6797	254.875	1.348938	1.0930083990097046	1.2769165	1.0773504972457886	1.0576782	1.0265549421310425	0.9493103	0.9783827662467957	0.79992676	0.9178193211555481	0.75860596	0.8914743065834045	1.2255859	0.758667	1.3076782	0.43777466	0.49554962	289570.47	35563
169.10583	420.0	1.312439	1.0930083990097046	1.1696167	1.0773504972457886	1.1225586	1.0265549421310425	0.8970032	0.9783827662467957	0.8649292	0.9178193211555481	0.7755432	0.8914743065834045	1.036499	0.92611694	0.97766113	0.6666565	0.49554962	289570.47	35563
95.33424	248.5	1.1522827	1.0930083990097046	1.1828613	1.0773504972457886	0.97750854	1.0265549421310425	1.0306396	0.9783827662467957	0.85665894	0.9178193211555481	0.8796692	0.8914743065834045	1.0184937	0.97058105	1.2249146	0.51467896	0.49554962	289570.47	35563
200.94684	646.5	1.0683594	1.0930083990097046	1.1924438	1.0773504972457886	0.91708374	1.0265549421310425	1.038269	0.9783827662467957	0.84954834	0.9178193211555481	0.87161255	0.8914743065834045	0.8187866	1.2424927	0.4915161	2.0769043	0.49554962	289570.47	35563
145.48833	330.25	1.3895264	1.0930083990097046	1.2573242	1.0773504972457886	1.1051025	1.0265549421310425	0.91030884	0.9783827662467957	0.8118286	0.9178193211555481	0.7390442	0.8914743065834045	1.0303955	0.9584961	0.68063354	1.3213501	0.49554962	289570.47	35563
115.43141	504.5	1.4901123	1.0930083990097046	1.2835693	1.0773504972457886	1.1609497	1.0265549421310425	0.87039185	0.9783827662467957	0.79470825	0.9178193211555481	0.6917114	0.8914743065834045	1.1799927	0.7843628	1.4327393	0.24420929	0.49554962	289570.47	35563
214.57997	501.75	1.4031982	1.0930083990097046	1.2781372	1.0773504972457886	1.0977783	1.0265549421310425	0.9160156	0.9783827662467957	0.7975464	0.9178193211555481	0.7305603	0.8914743065834045	1.1556396	0.81903076	1.5543823	0.3915558	0.49554962	289570.47	35563
75.65135	314.0	1.1300659	1.0930083990097046	1.0093994	1.0773504972457886	1.1238403	1.0265549421310425	0.8970947	0.9783827662467957	0.9605713	0.9178193211555481	0.8597412	0.8914743065834045	0.93862915	1.0656128	1.7144165	0.25378418	0.49554962	289570.47	35563
95.34969	387.75	1.1694946	1.0930083990097046	1.2375488	1.0773504972457886	0.9543152	1.0265549421310425	1.0249023	0.9783827662467957	0.8234558	0.9178193211555481	0.8387146	0.8914743065834045	1.1132812	0.84887695	0.8996582	0.67785645	0.49554962	289570.47	35563
254.12032	405.25	1.0671387	1.0930083990097046	0.9734192	1.0773504972457886	1.0941772	1.0265549421310425	0.9182129	0.9783827662467957	0.98703	0.9178193211555481	0.90740967	0.8914743065834045	1.0541382	0.92559814	0.9587097	0.87823486	0.49554962	289570.47	35563
79.70673	328.25	1.0316772	1.0930083990097046	0.98062134	1.0773504972457886	1.0497437	1.0265549421310425	0.9528198	0.9783827662467957	0.97854614	0.9178193211555481	0.93362427	0.8914743065834045	1.0865479	0.8861084	1.0522461	0.47709656	0.49554962	289570.47	35563
328.23334	433.25	1.5513306	1.0930083990097046	1.2943115	1.0773504972457886	1.1986084	1.0265549421310425	0.84542847	0.9783827662467957	0.7885742	0.9178193211555481	0.666687	0.8914743065834045	1.052124	0.9180298	1.8065186	0.26287842	-0.49554962	289570.47	35563
36.055027	375.0	1.0394897	1.0930083990097046	1.1842041	1.0773504972457886	0.903656	1.0265549421310425	1.0726318	0.9783827662467957	0.8560791	0.9178193211555481	0.9038391	0.8914743065834045	0.9768982	1.0076294	0.6812744	1.3428955	0.49554962	289570.47	35563
257.75058	323.25	1.5966187	1.0930083990097046	1.4024048	1.0773504972457886	1.138855	1.0265549421310425	0.88494873	0.9783827662467957	0.72384644	0.9178193211555481	0.6403198	0.8914743065834045	0.9456787	1.0499268	0.77737427	0.90112305	-0.49554962	289570.47	35563
135.83168	305.75	2.3515625	1.0930083990097046	0.949646	1.0773504972457886	2.100586	1.0265549421310425	0.1304779	0.9783827662467957	0.99539185	0.9178193211555481	0.2956543	0.8914743065834045	0.7435303	1.406311	0.35560608	2.3812256	0.49554962	289570.47	35563
249.40497	268.25	1.4057617	1.0930083990097046	1.2271729	1.0773504972457886	1.145813	1.0265549421310425	0.8809204	0.9783827662467957	0.8299866	0.9178193211555481	0.73095703	0.8914743065834045	1.1008301	0.8696594	1.3717041	0.46009827	0.49554962	289570.47	35563
197.83992	303.5	1.512146	1.0930083990097046	1.291748	1.0773504972457886	1.1705933	1.0265549421310425	0.8640137	0.9783827662467957	0.7904358	0.9178193211555481	0.6829529	0.8914743065834045	1.4244385	0.61987305	1.0957642	0.67349243	-0.49554962	289570.47	35563
60.87951	231.875	1.446106	1.0930083990097046	1.3226929	1.0773504972457886	1.0933228	1.0265549421310425	0.917511	0.9783827662467957	0.7749634	0.9178193211555481	0.71102905	0.8914743065834045	0.964447	1.0307617	0.31977844	3.8753662	-0.49554962	289570.47	35563
