lep_pt	LHE_dd	LHES_dd	LHE_dm	LHES_dm	LHE_md	LHES_md	LHE_um	LHES_um	LHE_mu	LHES_mu	LHE_uu	LHES_uu	genWeights	sumWeight	N_exp
108.10404	1.5678711	1.0995333194732666	1.4627075	1.0922484397888184	1.0718994	1.0169942378997803	0.9370117	0.9875264763832092	0.70788574	0.9008625149726868	0.66329956	0.8840563297271729	0.61813426	11181.431	33941
34.268967	1.1481934	1.0995333194732666	1.0238037	1.0922484397888184	1.1097412	1.0169942378997803	0.90740967	0.9875264763832092	0.9324646	0.9008625149726868	0.85098267	0.8840563297271729	0.61813426	11181.431	33941
54.213303	1.4724731	1.0995333194732666	1.3763428	1.0922484397888184	1.071106	1.0169942378997803	0.94229126	0.9875264763832092	0.7465515	0.9008625149726868	0.7027283	0.8840563297271729	0.61813426	11181.431	33941
85.56684	1.197998	1.0995333194732666	1.178833	1.0922484397888184	1.0149536	1.0169942378997803	0.9791565	0.9875264763832092	0.84490967	0.9008625149726868	0.8279724	0.8840563297271729	0.61813426	11181.431	33941
188.34294	1.5456543	1.0995333194732666	1.4511108	1.0922484397888184	1.0651245	1.0169942378997803	0.94137573	0.9875264763832092	0.7121887	0.9008625149726868	0.6704407	0.8840563297271729	0.61813426	11181.431	33941
78.45487	1.6207275	1.0995333194732666	1.4823608	1.0922484397888184	1.0933228	1.0169942378997803	0.91830444	0.9875264763832092	0.6972656	0.9008625149726868	0.6403198	0.8840563297271729	-0.61813426	11181.431	33941
188.42953	1.2550659	1.0995333194732666	1.0889893	1.0922484397888184	1.1436157	1.0169942378997803	0.88256836	0.9875264763832092	0.894989	0.9008625149726868	0.79348755	0.8840563297271729	0.61813426	11181.431	33941
66.35111	1.1691895	1.0995333194732666	1.0570068	1.0922484397888184	1.100769	1.0169942378997803	0.91256714	0.9875264763832092	0.907959	0.9008625149726868	0.83081055	0.8840563297271729	0.61813426	11181.431	33941
206.30849	0.03455162	1.0995333194732666	0.9689636	1.0922484397888184	0.37120056	1.0169942378997803	1.5783691	0.9875264763832092	0.9512024	0.9008625149726868	1.3527222	0.8840563297271729	0.61813426	11181.431	33941
285.87946	1.2177124	1.0995333194732666	0.98605347	1.0922484397888184	1.1859131	1.0169942378997803	0.8492737	0.9875264763832092	0.94259644	0.9008625149726868	0.8187561	0.8840563297271729	0.61813426	11181.431	33941
133.28317	1.3566895	1.0995333194732666	1.2962036	1.0922484397888184	1.0464478	1.0169942378997803	0.9561157	0.9875264763832092	0.78860474	0.9008625149726868	0.7541504	0.8840563297271729	0.61813426	11181.431	33941
69.76823	1.5452881	1.0995333194732666	1.4304199	1.0922484397888184	1.0803223	1.0169942378997803	0.93045044	0.9875264763832092	0.72128296	0.9008625149726868	0.67108154	0.8840563297271729	0.61813426	11181.431	33941
208.03094	1.5890503	1.0995333194732666	1.3670654	1.0922484397888184	1.1623535	1.0169942378997803	0.8691101	0.9875264763832092	0.74884033	0.9008625149726868	0.6508179	0.8840563297271729	0.61813426	11181.431	33941
18.886879	1.3886719	1.0995333194732666	1.2021484	1.0922484397888184	1.1553345	1.0169942378997803	0.87435913	0.9875264763832092	0.83950806	0.9008625149726868	0.73391724	0.8840563297271729	0.61813426	11181.431	33941
195.59122	1.2695923	1.0995333194732666	1.1691284	1.0922484397888184	1.0855713	1.0169942378997803	0.92489624	0.9875264763832092	0.86602783	0.9008625149726868	0.8012085	0.8840563297271729	0.61813426	11181.431	33941
37.563793	1.4940186	1.0995333194732666	1.3964233	1.0922484397888184	1.0698853	1.0169942378997803	0.93774414	0.9875264763832092	0.7354431	0.9008625149726868	0.68963623	0.8840563297271729	-0.61813426	11181.431	33941
43.229546	1.5452881	1.0995333194732666	1.4533081	1.0922484397888184	1.0632935	1.0169942378997803	0.94244385	0.9875264763832092	0.7113037	0.9008625149726868	0.6703491	0.8840563297271729	-0.61813426	11181.431	33941
87.52381	1.5524902	1.0995333194732666	1.4192505	1.0922484397888184	1.0938721	1.0169942378997803	0.91900635	0.9875264763832092	0.7254944	0.9008625149726868	0.66674805	0.8840563297271729	0.61813426	11181.431	33941
135.31049	0.8857422	1.0995333194732666	0.7510376	1.0922484397888184	1.1524048	1.0169942378997803	0.8752136	0.9875264763832092	1.0772095	0.9008625149726868	0.9508362	0.8840563297271729	0.61813426	11181.431	33941
47.569344	1.5085449	1.0995333194732666	1.4287109	1.0922484397888184	1.0559082	1.0169942378997803	0.94711304	0.9875264763832092	0.72146606	0.9008625149726868	0.6832886	0.8840563297271729	-0.61813426	11181.431	33941
266.21558	1.3883057	1.0995333194732666	1.2987671	1.0922484397888184	1.0682373	1.0169942378997803	0.93878174	0.9875264763832092	0.7870178	0.9008625149726868	0.7392273	0.8840563297271729	0.61813426	11181.431	33941
72.50545	1.1939697	1.0995333194732666	1.1078491	1.0922484397888184	1.0758057	1.0169942378997803	0.9324951	0.9875264763832092	0.8804321	0.9008625149726868	0.8218689	0.8840563297271729	0.61813426	11181.431	33941
187.0933	1.6011963	1.0995333194732666	1.4089966	1.0922484397888184	1.1374512	1.0169942378997803	0.8894348	0.9875264763832092	0.7319641	0.9008625149726868	0.6505127	0.8840563297271729	0.61813426	11181.431	33941
64.1196	1.1616211	1.0995333194732666	1.2978516	1.0922484397888184	0.9139404	1.0169942378997803	1.074585	0.9875264763832092	0.78707886	0.9008625149726868	0.8352051	0.8840563297271729	0.61813426	11181.431	33941
