lep_pt	AK8_pt	t32	Msd	Flag	genWeights	sumWeight	N_exp
168.28578	506.25	0.7155573	172.875	a	0.49554962	289486.16	35563
92.11469	239.0	0.7918251	91.125		0.49554962	289486.16	35563
154.82866	223.0	0.605377	97.25	c	0.49554962	289486.16	35563
272.08124	491.0	0.6628399	114.6875		0.49554962	289486.16	35563
471.04028	379.5	0.6761168	127.125		0.49554962	289486.16	35563
178.7106	507.75	0.52942777	182.75	a	0.49554962	289486.16	35563
48.2924	353.5	0.8902627	152.25		-0.49554962	289486.16	35563
193.26622	631.5	0.47846332	122.0625	a	-0.49554962	289486.16	35563
87.79575	426.5	0.51541424	187.125	a	0.49554962	289486.16	35563
373.26132	456.0	0.5071344	196.5		0.49554962	289486.16	35563
178.83104	353.25	0.8791722	101.1875		0.49554962	289486.16	35563
210.1265	420.5	0.41165233	187.625	a	-0.49554962	289486.16	35563
121.48644	452.75	0.7062937	135.375		0.49554962	289486.16	35563
107.903755	428.0	0.74501425	160.0		0.49554962	289486.16	35563
269.20007	497.25	0.7712009	118.4375		0.49554962	289486.16	35563
162.24898	475.5	0.59158415	184.125	a	0.49554962	289486.16	35563
136.09921	351.5	0.4937888	175.375	a	0.49554962	289486.16	35563
256.30963	557.0	0.58636713	262.25	a	-0.49554962	289486.16	35563
201.0367	294.0	0.6256058	140.75		0.49554962	289486.16	35563
73.63961	280.25	0.8541667	115.5		0.49554962	289486.16	35563
193.25763	268.0	0.5106572	123.375		0.49554962	289486.16	35563
95.42164	210.0	0.8545597	83.75	b	-0.49554962	289486.16	35563
145.47371	343.25	0.4904956	102.5		0.49554962	289486.16	35563
105.53558	525.5	0.38383234	192.125	a	0.49554962	289486.16	35563
77.18478	301.5	0.8432948	121.0		0.49554962	289486.16	35563
216.00037	360.5	0.79160935	123.5		0.49554962	289486.16	35563
204.89085	478.5	0.45487043	172.125	a	0.49554962	289486.16	35563
97.05795	366.75	0.44749263	149.5	a	-0.49554962	289486.16	35563
175.51428	292.0	0.8205782	108.625		0.49554962	289486.16	35563
167.186	429.75	0.4942155	178.375	a	0.49554962	289486.16	35563
219.59377	423.75	0.25946304	172.75	a	0.49554962	289486.16	35563
135.76561	344.0	0.44450024	171.0	a	0.49554962	289486.16	35563
133.98921	747.0	0.41820192	173.5	a	0.49554962	289486.16	35563
248.68793	454.25	0.71530443	138.875		0.49554962	289486.16	35563
276.089	390.25	0.42857143	191.375	a	0.49554962	289486.16	35563
96.900795	325.25	0.605648	116.0625	c	-0.49554962	289486.16	35563
154.85486	262.0	0.45506108	134.625	a	-0.49554962	289486.16	35563
86.217926	461.25	0.74177396	165.875		0.49554962	289486.16	35563
192.44043	699.5	0.4114615	193.25	a	-0.49554962	289486.16	35563
102.76621	426.25	0.551756	145.25		-0.49554962	289486.16	35563
239.94379	462.25	0.79754996	104.6875		0.49554962	289486.16	35563
81.46877	364.5	0.7	164.25	a	-0.49554962	289486.16	35563
174.05266	403.5	0.73588514	136.25		0.49554962	289486.16	35563
101.938286	417.75	0.75086206	159.25		0.49554962	289486.16	35563
83.88289	434.25	0.73972005	144.5		0.49554962	289486.16	35563
113.980705	460.25	0.8319635	154.625		0.49554962	289486.16	35563
216.95459	379.25	0.6729858	140.625		-0.49554962	289486.16	35563
180.47284	402.75	0.498513	163.375	a	0.49554962	289486.16	35563
332.99365	757.0	0.5645705	91.375	a	0.49554962	289486.16	35563
122.70244	264.75	0.7233898	109.6875		0.49554962	289486.16	35563
559.8383	619.0	0.7996536	84.1875		-0.49554962	289486.16	35563
126.7391	282.0	0.34441233	114.8125	b	0.49554962	289486.16	35563
98.42877	383.75	0.56391186	107.1875		-0.49554962	289486.16	35563
128.26596	867.5	0.7516106	5.6289062	d	0.49554962	289486.16	35563
132.04553	421.25	0.56293225	184.5	a	0.49554962	289486.16	35563
74.919464	234.75	0.8495503	102.5		0.49554962	289486.16	35563
144.47418	348.25	0.61812145	148.0	a	-0.49554962	289486.16	35563
154.87778	345.75	0.74475193	73.8125		0.49554962	289486.16	35563
84.1642	340.5	0.87979394	125.9375		-0.49554962	289486.16	35563
133.73204	496.75	0.51598513	199.0	a	0.49554962	289486.16	35563
95.436874	664.0	0.5003894	208.125	a	0.49554962	289486.16	35563
67.344475	229.875	0.78035045	108.1875		0.49554962	289486.16	35563
121.96213	629.5	0.4625	199.625	a	-0.49554962	289486.16	35563
96.27467	345.25	0.67786664	103.0		0.49554962	289486.16	35563
135.27405	397.5	0.7005189	159.875		0.49554962	289486.16	35563
211.2638	375.0	0.75440705	154.625	d	0.49554962	289486.16	35563
