lep_pt	AK8_pt	t32	Msd	Flag	genWeights	sumWeight	N_exp
342.0361	237.625	0.61762613	88.75	b	0.49554962	177184.75	35563
145.12741	328.0	0.74707943	120.6875	a	-0.49554962	177184.75	35563
152.83359	374.5	0.3242341	189.375	a	0.49554962	177184.75	35563
216.47769	751.5	0.1732763	173.5	a	0.49554962	177184.75	35563
97.13385	414.5	0.3947541	169.5	a	0.49554962	177184.75	35563
99.77981	447.5	0.5209622	147.875	a	0.49554962	177184.75	35563
302.9327	383.0	0.56556684	161.0	b	-0.49554962	177184.75	35563
304.24005	396.75	0.46672505	158.625	a	-0.49554962	177184.75	35563
155.83664	265.5	0.45657647	120.125		-0.49554962	177184.75	35563
81.85008	280.75	0.7436464	105.0625		0.49554962	177184.75	35563
100.891655	344.25	0.76657826	149.625		0.49554962	177184.75	35563
330.7089	274.5	0.65763545	123.125	c	0.49554962	177184.75	35563
123.04641	293.5	0.75	93.4375		-0.49554962	177184.75	35563
216.4885	694.0	0.8474647	197.75	a	0.49554962	177184.75	35563
102.088524	593.5	0.5618361	171.125	a	0.49554962	177184.75	35563
364.28497	1088.0	0.7248832	126.0		-0.49554962	177184.75	35563
62.639156	258.0	0.5727449	99.1875		0.49554962	177184.75	35563
221.92975	379.75	0.88199514	126.75		0.49554962	177184.75	35563
113.30015	363.0	0.912465	109.5		0.49554962	177184.75	35563
194.59506	322.25	0.87129986	126.25		0.49554962	177184.75	35563
95.14156	282.75	0.69730943	103.3125	c	0.49554962	177184.75	35563
151.52705	296.0	0.8525281	3.484375	d	0.49554962	177184.75	35563
148.4971	284.75	0.50375426	104.0625	a	0.49554962	177184.75	35563
267.0217	616.0	0.34818482	183.375	a	0.49554962	177184.75	35563
125.30703	410.75	0.42733255	171.375	a	0.49554962	177184.75	35563
85.52828	441.5	0.46342328	189.5	a	0.49554962	177184.75	35563
144.86774	255.375	0.43522048	123.625	c	0.49554962	177184.75	35563
43.976345	489.75	0.5400565	222.125		0.49554962	177184.75	35563
135.1392	467.25	0.8001612	87.125	b	0.49554962	177184.75	35563
700.5139	943.5	0.5809902	172.5	a	0.49554962	177184.75	35563
247.38332	363.5	0.48864526	120.8125	a	-0.49554962	177184.75	35563
132.3295	314.5	0.86509496	120.25		-0.49554962	177184.75	35563
130.56313	278.0	0.76409316	114.4375		0.49554962	177184.75	35563
67.69171	485.5	0.74426687	151.875		0.49554962	177184.75	35563
114.98048	615.0	0.31309584	158.5	a	-0.49554962	177184.75	35563
218.34604	437.0	0.57930213	170.875	a	0.49554962	177184.75	35563
163.9226	277.5	0.26789677	109.6875	c	-0.49554962	177184.75	35563
177.81448	570.0	0.6132906	145.0	a	0.49554962	177184.75	35563
82.04127	257.75	0.72241235	130.5		0.49554962	177184.75	35563
325.6641	499.75	0.7396329	173.75	a	-0.49554962	177184.75	35563
70.66208	317.5	0.64426637	116.4375		0.49554962	177184.75	35563
151.25954	596.5	0.46607143	148.375		0.49554962	177184.75	35563
146.1543	350.75	0.34658346	165.75		0.49554962	177184.75	35563
