AK4_pt	AK8_pt	H_t	t_tag	b_tag	Minv	signal
31.65625	213.25	31.65625	8.3744526e-05	0.05368042	0.676708169141591	False
80.8125	175.0	80.8125	4.3660402e-05	0.9941406	1.5981614651244342	False
32.21875	179.25	93.34375	0.008598328	0.7685547	0.9027306171256413	False
32.90625	196.75	32.90625	4.7287904e-07	0.7675781	0.29639984103732786	False
103.625	194.0	103.625	1.0065734e-05	0.07336426	1.9262765268574782	False
26.609375	234.875	26.609375	2.8476119e-05	0.12384033	4.6524720798895345	False
32.71875	382.75	32.71875	0.00013518333	0.4362793	2.6530906098988822	False
83.6875	251.125	83.6875	0.00018084049	0.8515625	0.8001518241607357	False
34.5625	201.5	34.5625	0.007835388	0.076416016	1.710395467923263	False
39.71875	225.75	39.71875	0.110961914	0.28833008	0.4269218130706065	False
47.90625	326.5	47.90625	2.130866e-05	0.36669922	0.24439968579373783	False
31.53125	206.875	31.53125	0.00017035007	0.43286133	0.3547802956160524	False
35.875	229.25	35.875	6.5155327e-06	0.99853516	0.7152816966731876	False
32.78125	170.375	32.78125	2.8070062e-06	0.1027832	2.9839405313072547	False
46.6875	216.25	46.6875	4.679896e-07	0.07989502	1.3271599797757432	False
52.0625	197.375	52.0625	3.568828e-06	0.12194824	5.5135826503104255	False
42.78125	356.0	42.78125	1.7574057e-06	0.119506836	1.2295553890902795	False
75.1875	186.5	75.1875	0.00083351135	0.89404297	7.287081264373498	False
81.0	213.375	213.375	4.954636e-07	0.19042969	0.35151808557971265	False
26.234375	187.75	26.234375	0.0007133484	0.050354004	1.3248479622474463	False
33.1875	199.75	33.1875	0.00027632713	0.99560547	8.356894265345417	False
63.40625	482.0	63.40625	0.4970703	0.24694824	0.4623326271409667	False
34.21875	460.75	34.21875	0.0002219677	0.04928589	1.6645089539212847	False
28.625	360.5	91.34375	0.79345703	0.90185547	0.7603398989099475	False
28.46875	307.0	28.46875	5.8487058e-06	0.07086182	0.8122071619846594	False
33.5625	279.75	33.5625	1.4230609e-05	0.05419922	9.174887026192607	False
28.453125	256.75	59.453125	3.954768e-05	0.08648682	0.13390097297609316	False
31.421875	289.75	107.671875	2.1643937e-06	0.28344727	0.2805800489553576	False
60.0	184.0	60.0	2.43932e-05	0.99902344	2.625637540755079	False
42.0	189.25	42.0	0.0015745163	0.15991211	1.0615581197995851	False
28.40625	241.125	28.40625	3.8668513e-06	0.9951172	3.4044860277975317	False
