lep_pt	AK8_pt	t32	Msd	Flag	genWeights	sumWeight	N_exp
616.5242	680.0	0.8194444	63.59375	b	-0.49554962	209709.69	35563
184.61967	331.25	0.5591603	143.5		0.49554962	209709.69	35563
126.22228	292.0	0.7953715	5.0390625	d	-0.49554962	209709.69	35563
139.05627	187.0	0.7940264	3.6347656		0.49554962	209709.69	35563
58.505493	208.75	0.61501044	89.0	b	0.49554962	209709.69	35563
84.58861	219.5	0.8329749	72.3125	c	0.49554962	209709.69	35563
55.11097	330.25	0.54610264	152.875		0.49554962	209709.69	35563
268.50778	250.125	0.7336613	52.3125		0.49554962	209709.69	35563
172.3336	257.5	0.7711864	0.92578125	d	0.49554962	209709.69	35563
272.84885	350.5	0.7965571	0.82128906	d	-0.49554962	209709.69	35563
52.923695	249.5	0.757882	93.125	c	0.49554962	209709.69	35563
49.627625	201.375	0.5131766	89.375	b	0.49554962	209709.69	35563
214.6163	257.75	0.7893738	42.0		-0.49554962	209709.69	35563
94.22947	196.625	0.76993465	-1.0	d	-0.49554962	209709.69	35563
165.69144	268.75	0.831508	92.0625	c	0.49554962	209709.69	35563
236.86522	354.75	0.86882126	26.296875	d	0.49554962	209709.69	35563
122.630104	199.375	0.9065301	12.2265625	c	0.49554962	209709.69	35563
94.42657	352.5	0.81409293	61.28125		0.49554962	209709.69	35563
47.415005	227.125	0.57931036	64.5	c	-0.49554962	209709.69	35563
168.47551	294.25	0.6625659	91.375	d	0.49554962	209709.69	35563
368.89642	509.0	0.72624326	132.375		0.49554962	209709.69	35563
103.462006	217.75	0.8109661	8.625	d	0.49554962	209709.69	35563
88.755486	285.25	0.72289157	82.5		0.49554962	209709.69	35563
296.61957	224.25	0.8104918	77.5	d	-0.49554962	209709.69	35563
68.66182	213.25	0.87066734	18.515625	d	-0.49554962	209709.69	35563
82.46616	234.0	0.71718603	92.3125	b	-0.49554962	209709.69	35563
273.72263	211.75	0.7193809	29.390625	d	-0.49554962	209709.69	35563
272.59128	242.375	0.8144231	1.1904297	d	-0.49554962	209709.69	35563
310.47345	589.0	0.4779474	183.75	a	0.49554962	209709.69	35563
120.30631	451.0	0.7328398	140.25	a	-0.49554962	209709.69	35563
281.068	248.0	0.6999032	82.3125		0.49554962	209709.69	35563
250.0545	235.75	0.8027179	100.9375		0.49554962	209709.69	35563
108.33797	250.375	0.84647113	98.25	b	0.49554962	209709.69	35563
213.27477	415.25	0.7820122	76.5		0.49554962	209709.69	35563
195.83794	255.625	0.7997573	68.0625	d	0.49554962	209709.69	35563
130.73857	207.375	0.84832567	91.25		0.49554962	209709.69	35563
308.32278	299.75	0.6062063	96.875	b	-0.49554962	209709.69	35563
70.528656	217.125	0.76871103	32.34375		0.49554962	209709.69	35563
235.28755	237.5	0.8021703	85.0625		0.49554962	209709.69	35563
146.77087	254.5	0.8329177	107.25	b	0.49554962	209709.69	35563
187.89835	208.5	0.74530137	10.6328125		0.49554962	209709.69	35563
66.16465	236.5	0.7985782	77.375		0.49554962	209709.69	35563
293.58728	200.5	0.8098933	6.4414062	d	0.49554962	209709.69	35563
175.16869	331.0	0.8465492	2.1894531		0.49554962	209709.69	35563
140.36415	276.25	0.8336608	101.3125	c	-0.49554962	209709.69	35563
52.289917	191.625	0.68477726	71.9375	c	-0.49554962	209709.69	35563
141.66267	304.0	0.87276155	91.125	a	-0.49554962	209709.69	35563
129.25258	256.5	0.58526874	118.75		0.49554962	209709.69	35563
163.44513	196.25	0.80655736	26.265625	d	0.49554962	209709.69	35563
73.4821	260.75	0.78507906	73.0		0.49554962	209709.69	35563
142.06178	354.0	0.68516207	93.1875		-0.49554962	209709.69	35563
223.06387	691.0	0.5812207	315.25	a	0.49554962	209709.69	35563
65.83459	400.25	0.40892193	191.125	a	0.49554962	209709.69	35563
128.13171	520.5	0.65625	94.375	a	0.49554962	209709.69	35563
82.29083	264.75	0.85264486	80.4375	c	0.49554962	209709.69	35563
77.5762	245.875	0.8729508	12.09375		-0.49554962	209709.69	35563
301.74826	282.5	0.4935065	141.875	d	-0.49554962	209709.69	35563
210.5657	241.375	0.86451614	82.75	b	-0.49554962	209709.69	35563
83.33652	186.375	0.7198203	-1.0		0.49554962	209709.69	35563
346.30502	605.5	0.45269555	182.125	b	0.49554962	209709.69	35563
88.03448	270.5	0.48415765	96.125	c	-0.49554962	209709.69	35563
383.63043	353.25	0.7169217	73.0		-0.49554962	209709.69	35563
219.7419	242.375	0.81307834	14.0234375		0.49554962	209709.69	35563
88.62215	391.5	0.54204756	165.5	a	0.49554962	209709.69	35563
173.8655	265.75	0.8501144	48.375		-0.49554962	209709.69	35563
272.25085	371.25	0.84631467	121.875	d	0.49554962	209709.69	35563
97.61101	242.875	0.7170795	92.4375	b	0.49554962	209709.69	35563
99.97448	348.5	0.85942703	87.1875		0.49554962	209709.69	35563
87.987366	189.375	0.8038847	-1.0		-0.49554962	209709.69	35563
222.94835	349.25	0.81366724	128.5		-0.49554962	209709.69	35563
180.18335	207.25	0.7876049	4.5351562	c	0.49554962	209709.69	35563
109.64423	220.0	0.4087938	98.9375		0.49554962	209709.69	35563
58.949043	296.75	0.86151797	2.3925781		-0.49554962	209709.69	35563
112.3893	268.25	0.43825665	112.375	c	0.49554962	209709.69	35563
63.94423	312.5	0.8210923	8.421875	d	0.49554962	209709.69	35563
89.28289	258.0	0.7632921	61.15625	b	0.49554962	209709.69	35563
153.24506	200.5	0.8427205	63.1875	b	-0.49554962	209709.69	35563
123.32638	227.5	0.78756475	83.5	b	-0.49554962	209709.69	35563
136.64774	387.0	0.67617786	21.453125	d	0.49554962	209709.69	35563
228.51088	199.375	0.81121075	86.25	b	0.49554962	209709.69	35563
178.38617	555.0	0.72257835	187.0	a	0.49554962	209709.69	35563
166.8279	204.5	0.89718986	48.9375		0.49554962	209709.69	35563
108.12953	210.75	0.9262473	72.3125	b	-0.49554962	209709.69	35563
169.51385	279.5	0.87982833	82.625		0.49554962	209709.69	35563
329.8248	509.5	0.77927256	95.875		0.49554962	209709.69	35563
142.53955	260.75	0.66090983	72.5		0.49554962	209709.69	35563
169.54512	440.0	0.49418122	134.375	b	0.49554962	209709.69	35563
67.28786	357.75	0.52836204	140.125	a	-0.49554962	209709.69	35563
