lep_pt	LHE_dd	LHES_dd	LHE_dm	LHES_dm	LHE_md	LHES_md	LHE_um	LHES_um	LHE_mu	LHES_mu	LHE_uu	LHES_uu	genWeights	sumWeight	N_exp
537.83307	1.2276611	1.0927191972732544	1.208435	1.0768747329711914	1.0255737	1.0267622470855713	0.96676636	0.9782336354255676	0.8406067	0.9180845618247986	0.8076172	0.8916244506835938	0.49554962	289157.1	35563
97.08437	1.4857178	1.0927191972732544	1.2885742	1.0768747329711914	1.1530151	1.0267622470855713	0.87545776	0.9782336354255676	0.79211426	0.9180845618247986	0.6934509	0.8916244506835938	-0.49554962	289157.1	35563
133.33745	1.484436	1.0927191972732544	1.2808838	1.0768747329711914	1.1588745	1.0267622470855713	0.87176514	0.9782336354255676	0.79608154	0.9180845618247986	0.69400024	0.8916244506835938	0.49554962	289157.1	35563
262.47415	1.7546387	1.0927191972732544	1.4987793	1.0768747329711914	1.1757202	1.0267622470855713	0.86483765	0.9782336354255676	0.663147	0.9180845618247986	0.5709839	0.8916244506835938	-0.49554962	289157.1	35563
320.72284	1.1676636	1.0927191972732544	1.2119141	1.0768747329711914	0.9751587	1.0267622470855713	1.012146	0.9782336354255676	0.8389282	0.9180845618247986	0.84246826	0.8916244506835938	0.49554962	289157.1	35563
227.94853	1.2219849	1.0927191972732544	1.0979614	1.0768747329711914	1.1143799	1.0267622470855713	0.90356445	0.9782336354255676	0.9082031	0.9180845618247986	0.81985474	0.8916244506835938	0.49554962	289157.1	35563
69.81099	1.2485962	1.0927191972732544	1.1560059	1.0768747329711914	1.079773	1.0267622470855713	0.92959595	0.9782336354255676	0.8739624	0.9180845618247986	0.8126526	0.8916244506835938	0.49554962	289157.1	35563
180.1562	1.2739868	1.0927191972732544	1.2695923	1.0768747329711914	1.0061035	1.0267622470855713	0.98880005	0.9782336354255676	0.80441284	0.9180845618247986	0.79382324	0.8916244506835938	0.49554962	289157.1	35563
218.3919	1.5291138	1.0927191972732544	1.2861938	1.0768747329711914	1.1889038	1.0267622470855713	0.85006714	0.9782336354255676	0.79333496	0.9180845618247986	0.67437744	0.8916244506835938	0.49554962	289157.1	35563
160.36845	1.2496338	1.0927191972732544	1.0545044	1.0768747329711914	1.1821289	1.0267622470855713	0.85849	0.9782336354255676	0.9333801	0.9180845618247986	0.80218506	0.8916244506835938	0.49554962	289157.1	35563
296.26794	1.5375366	1.0927191972732544	1.3464966	1.0768747329711914	1.1419678	1.0267622470855713	0.8831177	0.9782336354255676	0.75650024	0.9180845618247986	0.66796875	0.8916244506835938	-0.49554962	289157.1	35563
147.59921	1.3127441	1.0927191972732544	1.2564697	1.0768747329711914	1.0469971	1.0267622470855713	0.95599365	0.9782336354255676	0.81121826	0.9180845618247986	0.77423096	0.8916244506835938	0.49554962	289157.1	35563
39.430103	1.6862793	1.0927191972732544	1.5029907	1.0768747329711914	1.1230469	1.0267622470855713	0.8954468	0.9782336354255676	0.6676941	0.9180845618247986	0.5970764	0.8916244506835938	-0.49554962	289157.1	35563
261.4171	1.2548828	1.0927191972732544	1.2010498	1.0768747329711914	1.0446777	1.0267622470855713	0.9578552	0.9782336354255676	0.84606934	0.9180845618247986	0.81051636	0.8916244506835938	0.49554962	289157.1	35563
192.65152	1.4953613	1.0927191972732544	1.291748	1.0768747329711914	1.1576538	1.0267622470855713	0.8721924	0.9782336354255676	0.7904358	0.9180845618247986	0.6894226	0.8916244506835938	0.49554962	289157.1	35563
171.00523	1.3574829	1.0927191972732544	1.2888794	1.0768747329711914	1.0532227	1.0267622470855713	0.94921875	0.9782336354255676	0.79193115	0.9180845618247986	0.751709	0.8916244506835938	-0.49554962	289157.1	35563
190.45738	1.491333	1.0927191972732544	1.2827759	1.0768747329711914	1.1625977	1.0267622470855713	0.87002563	0.9782336354255676	0.795105	0.9180845618247986	0.69174194	0.8916244506835938	-0.49554962	289157.1	35563
238.3828	0.75027466	1.0927191972732544	1.0639648	1.0768747329711914	0.7779236	1.0267622470855713	1.1731567	0.9782336354255676	0.9300537	0.9180845618247986	1.0530396	0.8916244506835938	0.49554962	289157.1	35563
81.37547	1.3033447	1.0927191972732544	1.0709839	1.0768747329711914	1.1925659	1.0267622470855713	0.84243774	0.9782336354255676	0.9213867	0.9180845618247986	0.7875061	0.8916244506835938	0.49554962	289157.1	35563
78.53487	1.3151245	1.0927191972732544	1.151123	1.0768747329711914	1.1430664	1.0267622470855713	0.88308716	0.9782336354255676	0.87701416	0.9180845618247986	0.7741089	0.8916244506835938	0.49554962	289157.1	35563
635.0815	1.4844971	1.0927191972732544	1.2771606	1.0768747329711914	1.1623535	1.0267622470855713	0.86932373	0.9782336354255676	0.7980957	0.9180845618247986	0.6937866	0.8916244506835938	-0.49554962	289157.1	35563
68.177086	1.2545166	1.0927191972732544	1.2761841	1.0768747329711914	0.98635864	1.0267622470855713	1.0059814	0.9782336354255676	0.8010864	0.9180845618247986	0.803833	0.8916244506835938	0.49554962	289157.1	35563
194.36748	1.4575806	1.0927191972732544	1.2979736	1.0768747329711914	1.1229858	1.0267622470855713	0.89630127	0.9782336354255676	0.7872925	0.9180845618247986	0.70565796	0.8916244506835938	-0.49554962	289157.1	35563
792.40393	1.4056396	1.0927191972732544	1.2503662	1.0768747329711914	1.1257324	1.0267622470855713	0.8939514	0.9782336354255676	0.81430054	0.9180845618247986	0.72714233	0.8916244506835938	0.49554962	289157.1	35563
