lep_pt	AK8_pt	t32	Msd	Flag	genWeights	sumWeight	N_exp
191.58775	288.25	0.7354369	94.0625		-0.49554962	289570.47	35563
137.76588	515.0	0.6853064	201.25	a	0.49554962	289570.47	35563
249.7096	271.25	0.50170505	100.5625	c	-0.49554962	289570.47	35563
53.68906	356.25	0.50468576	144.625	a	-0.49554962	289570.47	35563
169.84753	237.625	0.8300153	75.125		0.49554962	289570.47	35563
128.88335	222.25	0.51751316	107.4375		-0.49554962	289570.47	35563
198.22292	305.75	0.8213793	112.3125		-0.49554962	289570.47	35563
165.40659	214.625	0.84927535	70.0		0.49554962	289570.47	35563
48.669987	280.0	0.78558475	102.6875	b	-0.49554962	289570.47	35563
117.21775	384.25	0.5701809	173.625		-0.49554962	289570.47	35563
70.10463	271.75	0.89899665	103.625	d	-0.49554962	289570.47	35563
235.3384	314.25	0.79364324	129.875		0.49554962	289570.47	35563
166.25319	478.0	0.6702485	13.5		0.49554962	289570.47	35563
300.24448	644.0	0.6541251	138.5		0.49554962	289570.47	35563
87.19555	190.625	0.86343044	-1.0		0.49554962	289570.47	35563
192.20709	352.25	0.7942708	138.75		0.49554962	289570.47	35563
221.48933	461.25	0.584375	0.21496582	d	0.49554962	289570.47	35563
94.67639	250.25	0.7972222	89.0625		-0.49554962	289570.47	35563
337.72528	345.25	0.88087434	101.6875		-0.49554962	289570.47	35563
359.7543	860.0	0.4292553	203.625	a	-0.49554962	289570.47	35563
532.9923	816.0	0.67391306	163.0	a	-0.49554962	289570.47	35563
201.95287	520.5	0.5691097	208.5	a	-0.49554962	289570.47	35563
128.7172	372.5	0.74488056	163.0		0.49554962	289570.47	35563
109.35949	318.0	0.34243014	129.375		0.49554962	289570.47	35563
193.69006	574.0	0.7729443	146.625	a	-0.49554962	289570.47	35563
90.61415	384.0	0.8844282	99.4375		0.49554962	289570.47	35563
91.877716	529.0	0.6808712	167.75		0.49554962	289570.47	35563
237.2678	264.25	0.69309753	102.75		0.49554962	289570.47	35563
86.85153	189.625	0.88812155	65.375	c	0.49554962	289570.47	35563
183.05244	417.75	0.46784452	119.3125		0.49554962	289570.47	35563
210.07375	212.25	0.87858903	79.6875		-0.49554962	289570.47	35563
277.46432	498.0	0.36224082	172.25	a	0.49554962	289570.47	35563
248.8833	336.75	0.7102138	144.125		-0.49554962	289570.47	35563
137.5065	318.75	0.43415803	160.125	a	0.49554962	289570.47	35563
424.56818	479.25	0.3214551	171.5	a	0.49554962	289570.47	35563
53.877144	493.25	0.66818184	165.375	a	-0.49554962	289570.47	35563
296.4791	333.25	0.7351869	101.125	d	-0.49554962	289570.47	35563
67.642296	291.0	0.48980933	84.8125	c	0.49554962	289570.47	35563
92.48837	264.25	0.9083166	91.25		0.49554962	289570.47	35563
88.16127	293.0	0.78606963	140.875		0.49554962	289570.47	35563
181.55266	530.5	0.6910809	183.375		0.49554962	289570.47	35563
101.73196	414.75	0.661909	159.125	a	0.49554962	289570.47	35563
107.37047	358.0	0.87946665	99.25		0.49554962	289570.47	35563
234.31795	373.75	0.17371646	167.625	a	0.49554962	289570.47	35563
303.60623	381.25	0.5238487	185.75	a	0.49554962	289570.47	35563
152.05293	283.25	0.8970487	103.8125		0.49554962	289570.47	35563
316.36215	640.0	0.4660823	175.375	a	0.49554962	289570.47	35563
84.85479	499.5	0.3433163	189.125		0.49554962	289570.47	35563
227.66048	679.0	0.46516782	176.625	a	0.49554962	289570.47	35563
204.12323	282.5	0.8952673	93.375	b	0.49554962	289570.47	35563
340.13757	602.0	0.47711405	179.375	a	0.49554962	289570.47	35563
128.00499	282.0	0.7454243	120.375		0.49554962	289570.47	35563
102.046974	581.0	0.27210325	235.125		0.49554962	289570.47	35563
72.614555	474.5	0.3520876	173.0	a	-0.49554962	289570.47	35563
256.97983	408.0	0.75062096	139.375		0.49554962	289570.47	35563
45.311752	524.5	0.87543255	106.0		0.49554962	289570.47	35563
238.08508	724.0	0.53573835	68.4375	a	0.49554962	289570.47	35563
125.513985	445.5	0.3292224	161.625	a	-0.49554962	289570.47	35563
200.15135	445.5	0.6670527	93.25		0.49554962	289570.47	35563
148.75548	428.0	0.44959018	207.875	a	0.49554962	289570.47	35563
109.38823	445.75	0.45032468	160.375	a	0.49554962	289570.47	35563
193.00116	345.25	0.8173913	138.75		0.49554962	289570.47	35563
212.94473	477.75	0.57310927	156.125	a	0.49554962	289570.47	35563
69.92026	376.25	0.3306233	167.75	a	0.49554962	289570.47	35563
73.14316	280.25	0.904451	110.3125		0.49554962	289570.47	35563
229.26057	357.5	0.6942877	142.875	a	-0.49554962	289570.47	35563
82.60843	272.25	0.714377	125.4375		-0.49554962	289570.47	35563
128.33363	632.5	0.39775762	187.375	a	0.49554962	289570.47	35563
