AK4_pt	AK8_pt	H_t	t_tag	b_tag	Minv	genWeights	sumWeight	signal
26.0	274.25	156.53125	0.26660156	0.20031738	8.823582307664665	17623.23	209915.81	True
50.6875	203.125	108.9375	0.00028061867	0.14221191	7.019393428694457	17623.23	209915.81	True
36.5625	214.0	126.6875	0.66796875	0.99316406	4.176496501046444	17623.23	209915.81	True
50.875	220.75	50.875	6.407499e-05	0.99853516	3.057521495215113	-17623.23	209915.81	True
27.609375	260.75	105.671875	0.0042762756	0.7084961	1.700883746324692	17623.23	209915.81	True
137.75	221.75	137.75	0.084350586	0.69628906	0.6895882166591889	-17623.23	209915.81	True
43.9375	226.125	89.0625	0.05633545	0.2788086	8.242442486436858	-17623.23	209915.81	True
121.5	454.25	390.125	0.9995117	0.9995117	5.537444188358819	-17623.23	209915.81	True
25.171875	402.5	132.03125	0.80371094	0.76220703	1.603028913530963	-17623.23	209915.81	True
63.03125	242.875	129.03125	0.028167725	0.8125	1.810023118129152	-17623.23	209915.81	True
80.3125	175.75	80.3125	2.1904707e-06	0.097473145	1.2567854345042662	17623.23	209915.81	True
54.59375	214.625	54.59375	0.047302246	0.21032715	4.0913320568617735	17623.23	209915.81	True
108.25	247.75	108.25	2.758205e-05	0.52001953	5.672055729662489	17623.23	209915.81	True
38.375	217.0	121.5625	0.0005221367	0.88964844	0.9593611834920921	17623.23	209915.81	True
38.125	254.625	38.125	0.96191406	0.99902344	0.38795627754377904	17623.23	209915.81	True
80.75	325.0	80.75	0.99072266	0.29003906	1.129358624225219	17623.23	209915.81	True
81.5625	356.75	193.9375	0.22521973	0.99853516	1.1809740325217746	17623.23	209915.81	True
34.0625	251.875	34.0625	4.74602e-06	0.18261719	1.581718230344194	17623.23	209915.81	True
52.6875	176.0	295.53125	0.9995117	0.99609375	3.5295679980823422	-17623.23	209915.81	True
82.0	185.75	82.0	0.027923584	0.9741211	0.7956617543746063	17623.23	209915.81	True
63.375	185.625	63.375	0.0030517578	0.24291992	8.418688028110708	17623.23	209915.81	True
