lep_pt	AK8_pt	LHE_dd	LHES_dd	LHE_dm	LHES_dm	LHE_md	LHES_md	LHE_um	LHES_um	LHE_mu	LHES_mu	LHE_uu	LHES_uu	ISR_u	ISR_d	FSR_u	FSR_d	genWeights	sumWeight	N_exp
29.990097	346.25	1.0482788	1.1059552431106567	1.0101318	1.0934432744979858	1.0360718	1.0206177234649658	0.9646301	0.9843873381614685	0.9612427	0.900016725063324	0.92822266	0.8809521198272705	0.9083252	1.1063232	0.7209778	0.95544434	0.61813426	3850.3586	33941
199.3725	650.0	0.8357849	1.1059552431106567	1.1572266	1.0934432744979858	0.78445435	1.0206177234649658	1.1923218	0.9843873381614685	0.8605957	0.900016725063324	0.99276733	0.8809521198272705	0.9773865	1.0245361	0.95184326	0.7524414	0.61813426	3850.3586	33941
140.5326	234.0	1.7477417	1.1059552431106567	1.5563965	1.0934432744979858	1.1230469	1.0206177234649658	0.897583	0.9843873381614685	0.6586304	0.900016725063324	0.591095	0.8809521198272705	1.1332397	0.84472656	0.34187317	4.039551	-0.61813426	3850.3586	33941
232.15822	542.5	1.1826782	1.1059552431106567	1.0710449	1.0934432744979858	1.1051636	1.0206177234649658	0.909729	0.9843873381614685	0.9050293	0.900016725063324	0.8229065	0.8809521198272705	1.0638428	0.90408325	0.49797058	1.9655151	0.61813426	3850.3586	33941
40.019253	274.0	1.2582397	1.1059552431106567	1.2538452	1.0934432744979858	1.0057373	1.0206177234649658	0.9963074	0.9843873381614685	0.81399536	0.900016725063324	0.8094177	0.8809521198272705	0.87435913	1.1783447	1.3763428	0.48109436	0.61813426	3850.3586	33941
111.247574	678.5	1.1897583	1.1059552431106567	1.0528564	1.0934432744979858	1.1311646	1.0206177234649658	0.8913574	0.9843873381614685	0.9138794	0.900016725063324	0.81411743	0.8809521198272705	1.1897583	0.7798462	2.0251465	0.16317749	0.61813426	3850.3586	33941
72.24338	854.5	1.6469116	1.1059552431106567	1.4313965	1.0934432744979858	1.1505127	1.0206177234649658	0.8789673	0.9843873381614685	0.7203369	0.900016725063324	0.6331482	0.8809521198272705	1.0151367	0.9738159	0.7467346	1.0082397	0.61813426	3850.3586	33941
173.49538	368.75	1.5261841	1.1059552431106567	1.3756714	1.0934432744979858	1.109436	1.0206177234649658	0.9072571	0.9843873381614685	0.744812	0.900016725063324	0.6757202	0.8809521198272705	0.9682007	1.0263062	1.0356445	0.6092224	0.61813426	3850.3586	33941
61.1433	664.0	1.3170776	1.1059552431106567	1.1974487	1.0934432744979858	1.0991821	1.0206177234649658	0.914978	0.9843873381614685	0.8378296	0.900016725063324	0.76693726	0.8809521198272705	1.1176758	0.8609314	1.1473389	0.5782776	0.61813426	3850.3586	33941
150.09483	277.0	1.1132812	1.1059552431106567	1.0652466	1.0934432744979858	1.0440063	1.0206177234649658	0.95773315	0.9843873381614685	0.92822266	0.900016725063324	0.8896179	0.8809521198272705	0.9973755	0.99279785	0.87042236	0.8925476	0.61813426	3850.3586	33941
75.25462	805.0	1.5705566	1.1059552431106567	1.3716431	1.0934432744979858	1.1450195	1.0206177234649658	0.8812561	0.9843873381614685	0.7466736	0.900016725063324	0.65802	0.8809521198272705	0.97946167	1.0001221	1.791626	0.2421112	0.61813426	3850.3586	33941
155.36087	322.5	1.3585815	1.1059552431106567	1.2913208	1.0934432744979858	1.052063	1.0206177234649658	0.9516907	0.9843873381614685	0.7906494	0.900016725063324	0.7524719	0.8809521198272705	1.06427	0.91656494	0.7491455	1.1790771	-0.61813426	3850.3586	33941
109.87445	356.0	0.4794464	1.1059552431106567	1.097168	1.0934432744979858	0.5975952	1.0206177234649658	1.3555298	0.9843873381614685	0.8858948	0.900016725063324	1.1253662	0.8809521198272705	1.1461792	0.81274414	0.7610779	0.666626	0.61813426	3850.3586	33941
63.070374	277.0	1.2016602	1.1059552431106567	1.2085571	1.0934432744979858	0.99749756	1.0206177234649658	1.0068359	0.9843873381614685	0.8411255	0.900016725063324	0.8444519	0.8809521198272705	1.0837402	0.8908386	1.2532349	0.6060486	0.61813426	3850.3586	33941
248.72198	489.25	1.3440552	1.1059552431106567	1.2756348	1.0934432744979858	1.0536499	1.0206177234649658	0.95062256	0.9843873381614685	0.79888916	0.900016725063324	0.75942993	0.8809521198272705	1.0563965	0.9034729	0.38237	3.2366943	-0.61813426	3850.3586	33941
429.57736	551.5	1.6452026	1.1059552431106567	1.4517822	1.0934432744979858	1.1331787	1.0206177234649658	0.89068604	0.9843873381614685	0.71191406	0.900016725063324	0.6340637	0.8809521198272705	0.8942566	1.1325684	0.971344	0.63949585	0.61813426	3850.3586	33941
61.299606	345.75	1.6069946	1.1059552431106567	1.4920044	1.0934432744979858	1.0761719	1.0206177234649658	0.9359741	0.9843873381614685	0.6920471	0.900016725063324	0.64834595	0.8809521198272705	1.0853271	0.88165283	2.8563232	0.09820938	-0.61813426	3850.3586	33941
117.30384	392.5	1.4691162	1.1059552431106567	1.3981934	1.0934432744979858	1.0547485	1.0206177234649658	0.9510498	0.9843873381614685	0.7383423	0.900016725063324	0.7000427	0.8809521198272705	0.9882202	0.9954529	0.8904724	0.6225281	0.61813426	3850.3586	33941
70.740616	371.75	1.2600098	1.1059552431106567	1.1052246	1.0934432744979858	1.1409302	1.0206177234649658	0.8833008	0.9843873381614685	0.88287354	0.900016725063324	0.77944946	0.8809521198272705	1.1789551	0.80007935	1.2720947	0.54312134	0.61813426	3850.3586	33941
260.9236	720.5	0.802948	1.1059552431106567	1.0858154	1.0934432744979858	0.7895508	1.0206177234649658	1.1807251	0.9843873381614685	0.91815186	0.900016725063324	1.0545044	0.8809521198272705	1.0927124	0.87991333	1.8167114	0.21326447	0.61813426	3850.3586	33941
328.03815	888.0	1.5808105	1.1059552431106567	1.4038696	1.0934432744979858	1.1260376	1.0206177234649658	0.8951721	0.9843873381614685	0.7321472	0.900016725063324	0.6553955	0.8809521198272705	0.976593	1.0146484	0.8274231	0.9168701	-0.61813426	3850.3586	33941
70.956276	331.25	1.591919	1.1059552431106567	1.447815	1.0934432744979858	1.0995483	1.0206177234649658	0.9148865	0.9843873381614685	0.7135315	0.900016725063324	0.6528015	0.8809521198272705	1.227356	0.7561035	1.6512451	0.28411865	-0.61813426	3850.3586	33941
34.787724	389.75	1.6020508	1.1059552431106567	1.4289551	1.0934432744979858	1.1212158	1.0206177234649658	0.89868164	0.9843873381614685	0.72125244	0.900016725063324	0.6481323	0.8809521198272705	1.1381836	0.82769775	0.61151123	1.1730957	-0.61813426	3850.3586	33941
78.8984	521.5	1.1833496	1.1059552431106567	1.060852	1.0934432744979858	1.1165771	1.0206177234649658	0.9014282	0.9843873381614685	0.90753174	0.900016725063324	0.81759644	0.8809521198272705	0.9798889	1.0100098	1.0053711	0.5982361	0.61813426	3850.3586	33941
98.89072	219.75	1.5700684	1.1059552431106567	1.4865723	1.0934432744979858	1.0561523	1.0206177234649658	0.9477539	0.9843873381614685	0.69818115	0.900016725063324	0.66171265	0.8809521198272705	0.98147583	1.0189819	1.0013428	0.6414795	0.61813426	3850.3586	33941
56.091934	347.0	1.1818848	1.1059552431106567	1.083374	1.0934432744979858	1.09198	1.0206177234649658	0.92071533	0.9843873381614685	0.8918152	0.900016725063324	0.8206482	0.8809521198272705	0.8291321	1.2492065	0.9003906	0.5935364	0.61813426	3850.3586	33941
73.21075	482.5	1.5178833	1.1059552431106567	1.289917	1.0934432744979858	1.1766968	1.0206177234649658	0.8597107	0.9843873381614685	0.79089355	0.900016725063324	0.67996216	0.8809521198272705	1.1429443	0.8303833	0.59054565	1.579773	0.61813426	3850.3586	33941
176.87325	359.5	1.4335327	1.1059552431106567	1.2903442	1.0934432744979858	1.1109619	1.0206177234649658	0.90625	0.9843873381614685	0.79119873	0.900016725063324	0.7170105	0.8809521198272705	0.97909546	1.0134277	1.3551025	0.3839264	0.61813426	3850.3586	33941
215.31953	353.5	1.854065	1.1059552431106567	1.2070923	1.0934432744979858	1.4753418	1.0206177234649658	0.64068604	0.9843873381614685	0.83273315	0.900016725063324	0.5600891	0.8809521198272705	1.0774536	0.8925781	2.2905273	0.18877411	0.61813426	3850.3586	33941
62.256084	232.0	1.0568848	1.1059552431106567	1.0132446	1.0934432744979858	1.0413818	1.0206177234649658	0.9598694	0.9843873381614685	0.9592285	0.900016725063324	0.9217224	0.8809521198272705	0.9824219	1.0159912	0.94595337	0.88513184	0.61813426	3850.3586	33941
274.77487	885.5	1.1500854	1.1059552431106567	1.0144043	1.0934432744979858	1.1316528	1.0206177234649658	0.8910217	0.9843873381614685	0.9373474	0.900016725063324	0.8360596	0.8809521198272705	1.072998	0.90200806	0.36245728	2.6699219	0.61813426	3850.3586	33941
66.636795	441.75	1.6137085	1.1059552431106567	1.4749146	1.0934432744979858	1.0941162	1.0206177234649658	0.91744995	0.9843873381614685	0.7007141	0.900016725063324	0.6428528	0.8809521198272705	0.85424805	1.1973877	0.6340332	1.0125732	-0.61813426	3850.3586	33941
91.723045	663.0	1.6295776	1.1059552431106567	1.4172363	1.0934432744979858	1.1498413	1.0206177234649658	0.8788147	0.9843873381614685	0.7263794	0.900016725063324	0.6383667	0.8809521198272705	1.0250244	0.9553528	0.6784668	1.3917847	-0.61813426	3850.3586	33941
