lep_pt	AK8_pt	genWeights	sumWeight	N_exp
76.30173	210.375	12.825598	5140859.0	275153
707.3827	940.0	12.825598	5140859.0	275153
90.28258	207.0	12.825598	5140859.0	275153
303.94128	318.75	12.825598	5140859.0	275153
163.23929	251.125	-12.825598	5140859.0	275153
136.16957	279.0	-12.825598	5140859.0	275153
116.68274	266.75	12.825598	5140859.0	275153
230.33597	314.25	12.825598	5140859.0	275153
110.77628	230.125	-12.825598	5140859.0	275153
167.60521	212.0	12.825598	5140859.0	275153
132.92157	207.875	-12.825598	5140859.0	275153
217.26756	328.5	12.825598	5140859.0	275153
292.54456	547.5	12.825598	5140859.0	275153
77.2665	204.25	12.825598	5140859.0	275153
59.188087	236.75	12.825598	5140859.0	275153
171.0691	279.25	-12.825598	5140859.0	275153
143.6501	217.25	12.825598	5140859.0	275153
128.41425	210.75	12.825598	5140859.0	275153
315.57092	289.0	-12.825598	5140859.0	275153
123.14207	324.25	12.825598	5140859.0	275153
118.686844	319.0	12.825598	5140859.0	275153
213.9858	210.0	12.825598	5140859.0	275153
105.03993	221.75	12.825598	5140859.0	275153
208.86726	361.0	12.825598	5140859.0	275153
225.31227	301.0	12.825598	5140859.0	275153
139.10185	251.75	12.825598	5140859.0	275153
149.03375	282.5	12.825598	5140859.0	275153
397.7526	308.0	12.825598	5140859.0	275153
94.27727	326.0	12.825598	5140859.0	275153
144.14023	237.75	12.825598	5140859.0	275153
84.79569	206.25	12.825598	5140859.0	275153
207.5872	624.0	12.825598	5140859.0	275153
205.42712	258.5	12.825598	5140859.0	275153
109.81904	283.25	12.825598	5140859.0	275153
127.315575	241.375	12.825598	5140859.0	275153
61.73234	303.25	12.825598	5140859.0	275153
120.10655	625.0	12.825598	5140859.0	275153
146.9854	220.75	12.825598	5140859.0	275153
305.81396	316.25	-12.825598	5140859.0	275153
231.45705	266.0	-12.825598	5140859.0	275153
136.2313	359.0	-12.825598	5140859.0	275153
386.66666	579.0	12.825598	5140859.0	275153
362.12656	484.0	12.825598	5140859.0	275153
111.29227	310.5	12.825598	5140859.0	275153
183.44606	530.5	12.825598	5140859.0	275153
97.15823	252.25	-12.825598	5140859.0	275153
72.92528	292.5	12.825598	5140859.0	275153
78.13928	342.5	12.825598	5140859.0	275153
97.30507	509.0	-12.825598	5140859.0	275153
147.73442	224.0	12.825598	5140859.0	275153
114.24593	304.5	12.825598	5140859.0	275153
225.85677	385.5	12.825598	5140859.0	275153
205.94112	276.75	-12.825598	5140859.0	275153
86.47475	270.0	12.825598	5140859.0	275153
109.75085	231.5	12.825598	5140859.0	275153
81.91802	289.5	-12.825598	5140859.0	275153
90.13172	244.5	12.825598	5140859.0	275153
100.01476	310.0	-12.825598	5140859.0	275153
173.56789	205.625	12.825598	5140859.0	275153
252.87567	218.375	12.825598	5140859.0	275153
