AK8_pt	Gent_pt	Flag	genWeights	sumWeight	N_exp
400.25	407.0		0.49554962	80409.86	35563
263.5	99.25		0.49554962	80409.86	35563
542.5	580.0	a	-0.49554962	80409.86	35563
366.5	382.0		-0.49554962	80409.86	35563
422.0	408.0	a	0.49554962	80409.86	35563
389.5	324.0		0.49554962	80409.86	35563
398.25	399.0		0.49554962	80409.86	35563
425.75	588.0	a	0.49554962	80409.86	35563
489.0	456.0		0.49554962	80409.86	35563
307.75	313.0	b	-0.49554962	80409.86	35563
449.5	283.0	b	0.49554962	80409.86	35563
300.0	231.0		-0.49554962	80409.86	35563
329.75	348.0		-0.49554962	80409.86	35563
387.25	142.5	d	0.49554962	80409.86	35563
528.0	516.0		-0.49554962	80409.86	35563
351.5	397.0	a	-0.49554962	80409.86	35563
629.5	640.0	a	-0.49554962	80409.86	35563
673.0	468.0	a	-0.49554962	80409.86	35563
222.25	282.0	b	-0.49554962	80409.86	35563
377.25	303.0		0.49554962	80409.86	35563
434.25	472.0		0.49554962	80409.86	35563
356.0	416.0	a	0.49554962	80409.86	35563
324.5	63.25	d	0.49554962	80409.86	35563
652.5	628.0	a	0.49554962	80409.86	35563
458.5	536.0	a	0.49554962	80409.86	35563
374.5	388.0	a	0.49554962	80409.86	35563
319.25	319.0	b	-0.49554962	80409.86	35563
288.0	169.5	b	-0.49554962	80409.86	35563
244.125	299.0	a	-0.49554962	80409.86	35563
374.25	393.0	b	0.49554962	80409.86	35563
227.875	202.0	d	0.49554962	80409.86	35563
518.5	480.0	a	0.49554962	80409.86	35563
383.5	389.0		0.49554962	80409.86	35563
295.0	323.0	a	0.49554962	80409.86	35563
345.0	345.0	a	0.49554962	80409.86	35563
502.25	491.0	b	0.49554962	80409.86	35563
325.5	380.0	a	0.49554962	80409.86	35563
409.0	375.0		0.49554962	80409.86	35563
449.75	425.0	a	0.49554962	80409.86	35563
300.5	361.0		0.49554962	80409.86	35563
274.5	296.0		0.49554962	80409.86	35563
304.75	310.0		-0.49554962	80409.86	35563
551.0	528.0	a	-0.49554962	80409.86	35563
402.25	415.0		0.49554962	80409.86	35563
957.5	808.0	a	0.49554962	80409.86	35563
454.5	373.0	b	0.49554962	80409.86	35563
552.5	233.5	d	0.49554962	80409.86	35563
573.0	576.0	a	0.49554962	80409.86	35563
415.0	398.0	a	0.49554962	80409.86	35563
364.75	358.0	a	0.49554962	80409.86	35563
229.375	223.5		0.49554962	80409.86	35563
236.25	281.0	c	-0.49554962	80409.86	35563
694.0	746.0	a	0.49554962	80409.86	35563
313.0	144.0	c	0.49554962	80409.86	35563
259.75	186.5	d	-0.49554962	80409.86	35563
654.5	362.0	d	0.49554962	80409.86	35563
377.0	436.0	a	-0.49554962	80409.86	35563
261.0	316.0		0.49554962	80409.86	35563
325.0	135.5	c	0.49554962	80409.86	35563
484.0	478.0		0.49554962	80409.86	35563
332.25	362.0		-0.49554962	80409.86	35563
242.5	225.5		0.49554962	80409.86	35563
532.0	558.0		0.49554962	80409.86	35563
467.0	570.0	a	0.49554962	80409.86	35563
335.25	299.0		0.49554962	80409.86	35563
445.5	480.0	a	0.49554962	80409.86	35563
292.25	358.0	a	-0.49554962	80409.86	35563
291.5	287.0		0.49554962	80409.86	35563
405.0	388.0		0.49554962	80409.86	35563
381.5	467.0		0.49554962	80409.86	35563
291.5	272.0		0.49554962	80409.86	35563
553.5	518.0	a	-0.49554962	80409.86	35563
551.0	532.0	a	0.49554962	80409.86	35563
397.75	376.0	b	0.49554962	80409.86	35563
498.5	477.0		0.49554962	80409.86	35563
612.5	552.0	a	0.49554962	80409.86	35563
200.375	296.0		0.49554962	80409.86	35563
467.0	435.0	a	0.49554962	80409.86	35563
220.0	194.0	d	0.49554962	80409.86	35563
364.75	388.0		0.49554962	80409.86	35563
329.25	293.0		0.49554962	80409.86	35563
373.5	368.0	b	0.49554962	80409.86	35563
464.75	386.0		0.49554962	80409.86	35563
256.75	211.0		0.49554962	80409.86	35563
444.75	465.0	a	0.49554962	80409.86	35563
437.5	424.0		0.49554962	80409.86	35563
375.25	469.0		0.49554962	80409.86	35563
267.75	324.0	b	0.49554962	80409.86	35563
365.25	428.0	a	0.49554962	80409.86	35563
204.5	147.5	b	0.49554962	80409.86	35563
473.0	449.0	a	-0.49554962	80409.86	35563
366.75	304.0		0.49554962	80409.86	35563
322.0	312.0		-0.49554962	80409.86	35563
213.0	161.5	b	0.49554962	80409.86	35563
218.75	219.0		0.49554962	80409.86	35563
391.0	400.0	a	0.49554962	80409.86	35563
338.75	340.0		0.49554962	80409.86	35563
679.5	594.0	a	0.49554962	80409.86	35563
258.75	147.5	c	-0.49554962	80409.86	35563
530.0	478.0		-0.49554962	80409.86	35563
221.125	173.0	c	0.49554962	80409.86	35563
473.25	481.0	a	0.49554962	80409.86	35563
526.0	522.0	a	0.49554962	80409.86	35563
847.5	836.0	a	-0.49554962	80409.86	35563
427.75	406.0		0.49554962	80409.86	35563
348.25	386.0	b	0.49554962	80409.86	35563
422.0	381.0	a	0.49554962	80409.86	35563
439.75	214.5		0.49554962	80409.86	35563
219.375	239.5	c	0.49554962	80409.86	35563
611.5	558.0	a	0.49554962	80409.86	35563
301.25	251.0		0.49554962	80409.86	35563
387.5	267.0		0.49554962	80409.86	35563
398.25	379.0	a	0.49554962	80409.86	35563
499.25	502.0	a	0.49554962	80409.86	35563
553.5	455.0	a	-0.49554962	80409.86	35563
499.75	450.0		0.49554962	80409.86	35563
