AK8_pt	Gent_pt	Flag	genWeights	sumWeight	N_exp
452.75	436.0		0.49554962	289079.88	35563
299.75	312.0	b	0.49554962	289079.88	35563
555.0	489.0		-0.49554962	289079.88	35563
346.75	351.0		0.49554962	289079.88	35563
476.75	390.0		0.49554962	289079.88	35563
311.25	273.0	b	0.49554962	289079.88	35563
335.25	236.5		0.49554962	289079.88	35563
277.5	354.0	b	0.49554962	289079.88	35563
261.75	347.0		0.49554962	289079.88	35563
394.0	379.0		0.49554962	289079.88	35563
597.5	590.0	a	0.49554962	289079.88	35563
229.125	326.0	b	-0.49554962	289079.88	35563
341.25	319.0		0.49554962	289079.88	35563
552.0	558.0		0.49554962	289079.88	35563
237.0	156.0	d	-0.49554962	289079.88	35563
433.0	390.0		-0.49554962	289079.88	35563
297.25	262.0		0.49554962	289079.88	35563
272.5	271.0		-0.49554962	289079.88	35563
448.75	487.0		-0.49554962	289079.88	35563
336.5	369.0		0.49554962	289079.88	35563
227.5	239.5		0.49554962	289079.88	35563
312.0	289.0		0.49554962	289079.88	35563
580.0	491.0		0.49554962	289079.88	35563
409.0	490.0		0.49554962	289079.88	35563
277.0	173.0		0.49554962	289079.88	35563
297.25	281.0	b	0.49554962	289079.88	35563
696.5	433.0	b	0.49554962	289079.88	35563
419.75	392.0	a	0.49554962	289079.88	35563
397.0	408.0		0.49554962	289079.88	35563
390.75	388.0		0.49554962	289079.88	35563
516.0	484.0	a	0.49554962	289079.88	35563
475.75	471.0		0.49554962	289079.88	35563
271.5	274.0		-0.49554962	289079.88	35563
664.5	210.0	d	0.49554962	289079.88	35563
581.0	397.0		-0.49554962	289079.88	35563
493.25	498.0	a	0.49554962	289079.88	35563
492.0	518.0		0.49554962	289079.88	35563
396.25	393.0		0.49554962	289079.88	35563
415.5	395.0		0.49554962	289079.88	35563
458.75	468.0		0.49554962	289079.88	35563
209.625	214.0	c	0.49554962	289079.88	35563
497.0	499.0	a	0.49554962	289079.88	35563
518.0	514.0	a	-0.49554962	289079.88	35563
269.25	155.0	c	-0.49554962	289079.88	35563
287.75	314.0	b	0.49554962	289079.88	35563
223.625	222.0	c	0.49554962	289079.88	35563
338.25	427.0		-0.49554962	289079.88	35563
511.5	528.0		0.49554962	289079.88	35563
387.75	364.0	a	0.49554962	289079.88	35563
533.0	246.5	c	0.49554962	289079.88	35563
521.5	494.0	a	0.49554962	289079.88	35563
427.75	377.0	a	0.49554962	289079.88	35563
487.0	514.0	a	0.49554962	289079.88	35563
442.75	479.0	a	0.49554962	289079.88	35563
393.75	396.0		0.49554962	289079.88	35563
243.375	242.5		0.49554962	289079.88	35563
380.0	358.0		0.49554962	289079.88	35563
370.0	361.0		-0.49554962	289079.88	35563
394.0	389.0	a	-0.49554962	289079.88	35563
542.5	526.0	a	0.49554962	289079.88	35563
449.25	428.0	a	0.49554962	289079.88	35563
452.0	445.0	a	0.49554962	289079.88	35563
501.5	489.0		-0.49554962	289079.88	35563
323.5	362.0		0.49554962	289079.88	35563
544.0	546.0	a	0.49554962	289079.88	35563
550.5	560.0	a	0.49554962	289079.88	35563
216.5	291.0		0.49554962	289079.88	35563
393.25	379.0	a	0.49554962	289079.88	35563
397.5	450.0	a	0.49554962	289079.88	35563
718.0	419.0	a	-0.49554962	289079.88	35563
298.5	286.0		-0.49554962	289079.88	35563
284.75	348.0	b	0.49554962	289079.88	35563
240.75	226.0		0.49554962	289079.88	35563
718.5	566.0		0.49554962	289079.88	35563
783.5	790.0		0.49554962	289079.88	35563
385.0	332.0		0.49554962	289079.88	35563
556.0	459.0	b	-0.49554962	289079.88	35563
553.0	528.0		0.49554962	289079.88	35563
303.25	398.0		0.49554962	289079.88	35563
432.25	424.0	a	-0.49554962	289079.88	35563
371.75	368.0		-0.49554962	289079.88	35563
463.75	476.0	a	0.49554962	289079.88	35563
312.0	267.0		0.49554962	289079.88	35563
383.75	254.0	d	-0.49554962	289079.88	35563
518.0	506.0		0.49554962	289079.88	35563
284.25	253.0		-0.49554962	289079.88	35563
259.25	329.0	b	-0.49554962	289079.88	35563
239.375	233.0		0.49554962	289079.88	35563
388.25	335.0	a	0.49554962	289079.88	35563
461.5	495.0		0.49554962	289079.88	35563
254.25	224.5	c	0.49554962	289079.88	35563
414.75	406.0	a	-0.49554962	289079.88	35563
331.0	383.0		0.49554962	289079.88	35563
274.75	321.0		0.49554962	289079.88	35563
356.0	431.0	a	0.49554962	289079.88	35563
325.0	305.0		0.49554962	289079.88	35563
276.5	261.0		0.49554962	289079.88	35563
261.5	381.0		0.49554962	289079.88	35563
276.25	154.0	d	0.49554962	289079.88	35563
312.0	310.0	a	-0.49554962	289079.88	35563
420.5	411.0	a	0.49554962	289079.88	35563
494.25	328.0		0.49554962	289079.88	35563
454.25	467.0		-0.49554962	289079.88	35563
506.75	501.0		0.49554962	289079.88	35563
494.5	530.0	b	0.49554962	289079.88	35563
587.5	598.0	a	0.49554962	289079.88	35563
442.0	448.0		-0.49554962	289079.88	35563
375.5	429.0		0.49554962	289079.88	35563
270.25	202.5		-0.49554962	289079.88	35563
607.0	586.0		-0.49554962	289079.88	35563
316.5	363.0		0.49554962	289079.88	35563
559.0	492.0	a	0.49554962	289079.88	35563
359.5	349.0	a	0.49554962	289079.88	35563
300.5	327.0		-0.49554962	289079.88	35563
218.0	229.0		0.49554962	289079.88	35563
469.5	494.0	a	0.49554962	289079.88	35563
400.25	50.375	d	-0.49554962	289079.88	35563
226.875	223.5	c	0.49554962	289079.88	35563
510.75	506.0	a	-0.49554962	289079.88	35563
339.0	399.0		0.49554962	289079.88	35563
256.75	242.5		0.49554962	289079.88	35563
456.25	369.0	a	-0.49554962	289079.88	35563
1582.0	1348.0	a	0.49554962	289079.88	35563
482.5	526.0	a	0.49554962	289079.88	35563
443.0	325.0	d	0.49554962	289079.88	35563
336.5	269.0	b	-0.49554962	289079.88	35563
296.75	251.0		0.49554962	289079.88	35563
464.75	532.0	a	0.49554962	289079.88	35563
347.75	127.5	d	0.49554962	289079.88	35563
727.0	684.0	a	0.49554962	289079.88	35563
330.75	347.0	b	0.49554962	289079.88	35563
378.25	360.0		0.49554962	289079.88	35563
377.0	320.0		0.49554962	289079.88	35563
504.75	483.0		-0.49554962	289079.88	35563
492.75	495.0	a	0.49554962	289079.88	35563
544.0	566.0	a	-0.49554962	289079.88	35563
401.0	403.0	a	0.49554962	289079.88	35563
425.0	425.0		0.49554962	289079.88	35563
442.25	414.0	a	-0.49554962	289079.88	35563
260.5	252.5		-0.49554962	289079.88	35563
287.25	348.0		0.49554962	289079.88	35563
223.375	232.0		-0.49554962	289079.88	35563
335.75	358.0		-0.49554962	289079.88	35563
312.0	280.0	b	-0.49554962	289079.88	35563
456.25	437.0	a	0.49554962	289079.88	35563
413.0	430.0		0.49554962	289079.88	35563
