AK8_pt	Gent_pt	Flag	genWeights	sumWeight	N_exp
907.0	984.0	a	0.49554962	156882.11	35563
358.5	376.0		0.49554962	156882.11	35563
327.25	150.5	c	-0.49554962	156882.11	35563
644.5	566.0	a	0.49554962	156882.11	35563
344.0	312.0	b	0.49554962	156882.11	35563
482.75	479.0	a	0.49554962	156882.11	35563
200.875	14.59375	d	0.49554962	156882.11	35563
800.5	570.0	a	0.49554962	156882.11	35563
473.0	162.0	c	-0.49554962	156882.11	35563
527.0	662.0		0.49554962	156882.11	35563
490.0	451.0	a	0.49554962	156882.11	35563
412.5	448.0		-0.49554962	156882.11	35563
351.5	301.0	b	-0.49554962	156882.11	35563
685.5	662.0	a	-0.49554962	156882.11	35563
385.0	360.0		0.49554962	156882.11	35563
498.5	450.0		-0.49554962	156882.11	35563
330.0	358.0		0.49554962	156882.11	35563
374.25	440.0	a	0.49554962	156882.11	35563
407.25	405.0	a	0.49554962	156882.11	35563
291.5	69.0	d	0.49554962	156882.11	35563
569.5	336.0	a	0.49554962	156882.11	35563
406.5	404.0	a	-0.49554962	156882.11	35563
540.0	450.0		0.49554962	156882.11	35563
377.5	276.0		0.49554962	156882.11	35563
1067.0	944.0	d	0.49554962	156882.11	35563
371.5	396.0		0.49554962	156882.11	35563
219.375	259.0		0.49554962	156882.11	35563
399.75	393.0	a	0.49554962	156882.11	35563
317.75	376.0	a	0.49554962	156882.11	35563
256.5	253.0		0.49554962	156882.11	35563
327.25	322.0	b	0.49554962	156882.11	35563
293.0	315.0		0.49554962	156882.11	35563
423.5	264.0		0.49554962	156882.11	35563
292.25	285.0	b	0.49554962	156882.11	35563
470.75	338.0	a	0.49554962	156882.11	35563
430.25	422.0		0.49554962	156882.11	35563
356.0	398.0	a	0.49554962	156882.11	35563
400.75	440.0		-0.49554962	156882.11	35563
433.75	416.0	a	0.49554962	156882.11	35563
475.25	410.0	a	0.49554962	156882.11	35563
321.5	372.0	a	-0.49554962	156882.11	35563
438.75	437.0		0.49554962	156882.11	35563
580.5	592.0	a	0.49554962	156882.11	35563
509.5	459.0		-0.49554962	156882.11	35563
389.25	371.0	a	-0.49554962	156882.11	35563
402.0	407.0	b	-0.49554962	156882.11	35563
348.25	357.0		0.49554962	156882.11	35563
267.75	255.0		0.49554962	156882.11	35563
510.0	486.0	b	0.49554962	156882.11	35563
348.75	375.0	b	0.49554962	156882.11	35563
407.0	406.0	a	-0.49554962	156882.11	35563
427.75	416.0	a	0.49554962	156882.11	35563
370.25	328.0	b	0.49554962	156882.11	35563
429.0	434.0	a	0.49554962	156882.11	35563
414.75	398.0	a	0.49554962	156882.11	35563
679.5	562.0	a	0.49554962	156882.11	35563
740.5	754.0	a	0.49554962	156882.11	35563
387.25	406.0	a	-0.49554962	156882.11	35563
312.25	335.0	a	-0.49554962	156882.11	35563
333.25	304.0		0.49554962	156882.11	35563
658.5	289.0		-0.49554962	156882.11	35563
217.25	281.0		0.49554962	156882.11	35563
483.75	572.0		0.49554962	156882.11	35563
337.5	337.0		-0.49554962	156882.11	35563
459.25	558.0		0.49554962	156882.11	35563
575.0	501.0		-0.49554962	156882.11	35563
302.5	360.0		0.49554962	156882.11	35563
264.25	223.0	c	-0.49554962	156882.11	35563
349.0	291.0	b	0.49554962	156882.11	35563
474.25	458.0	a	-0.49554962	156882.11	35563
390.75	385.0		0.49554962	156882.11	35563
710.5	476.0		0.49554962	156882.11	35563
342.25	395.0	a	-0.49554962	156882.11	35563
289.75	333.0		0.49554962	156882.11	35563
456.0	408.0		-0.49554962	156882.11	35563
253.0	243.0		0.49554962	156882.11	35563
387.0	321.0		0.49554962	156882.11	35563
289.75	234.5		-0.49554962	156882.11	35563
386.5	379.0	a	0.49554962	156882.11	35563
365.5	392.0	a	-0.49554962	156882.11	35563
319.25	384.0		0.49554962	156882.11	35563
490.25	546.0	a	-0.49554962	156882.11	35563
313.0	303.0	b	0.49554962	156882.11	35563
636.0	564.0	a	-0.49554962	156882.11	35563
544.0	546.0	a	0.49554962	156882.11	35563
520.5	586.0	a	-0.49554962	156882.11	35563
315.75	421.0		-0.49554962	156882.11	35563
