AK8_pt	Gent_pt	Flag	genWeights	sumWeight	N_exp
406.5	419.0	a	0.49554962	289157.1	35563
300.0	346.0	a	0.49554962	289157.1	35563
256.75	263.0		0.49554962	289157.1	35563
414.75	387.0		-0.49554962	289157.1	35563
334.0	217.5	d	0.49554962	289157.1	35563
396.5	375.0	d	-0.49554962	289157.1	35563
311.75	372.0	a	0.49554962	289157.1	35563
409.75	423.0	a	-0.49554962	289157.1	35563
254.875	239.5		0.49554962	289157.1	35563
468.5	124.0	d	0.49554962	289157.1	35563
524.0	536.0		0.49554962	289157.1	35563
678.0	666.0	a	0.49554962	289157.1	35563
377.5	321.0	b	0.49554962	289157.1	35563
729.5	678.0		0.49554962	289157.1	35563
626.5	540.0	a	0.49554962	289157.1	35563
369.5	356.0		0.49554962	289157.1	35563
377.5	397.0	a	0.49554962	289157.1	35563
248.0	245.5		0.49554962	289157.1	35563
347.5	381.0		-0.49554962	289157.1	35563
251.375	154.0	c	0.49554962	289157.1	35563
671.0	626.0	a	0.49554962	289157.1	35563
700.0	712.0	a	0.49554962	289157.1	35563
521.5	347.0	b	0.49554962	289157.1	35563
532.0	483.0	a	0.49554962	289157.1	35563
403.75	456.0	a	0.49554962	289157.1	35563
227.375	366.0	c	0.49554962	289157.1	35563
542.5	456.0	a	0.49554962	289157.1	35563
448.75	436.0		0.49554962	289157.1	35563
730.5	642.0	a	0.49554962	289157.1	35563
354.0	370.0		0.49554962	289157.1	35563
396.0	399.0	a	0.49554962	289157.1	35563
603.0	606.0	a	0.49554962	289157.1	35563
444.75	409.0	a	0.49554962	289157.1	35563
484.75	471.0		0.49554962	289157.1	35563
367.75	412.0	d	0.49554962	289157.1	35563
288.75	220.5	d	-0.49554962	289157.1	35563
760.5	261.0		0.49554962	289157.1	35563
444.25	380.0	a	0.49554962	289157.1	35563
280.5	324.0		-0.49554962	289157.1	35563
305.5	334.0		0.49554962	289157.1	35563
227.0	243.5		0.49554962	289157.1	35563
